artist,country_iso,note
Taylor Swift,US,artist origin audit
CoComelon,US,artist origin audit
Elvis Presley,US,artist origin audit
Westlife,IE,artist origin audit
Lady Gaga,US,artist origin audit
Mariah Carey,US,artist origin audit
Lana Del Rey,US,artist origin audit
Roy Orbison,US,artist origin audit
Simon & Garfunkel,US,artist origin audit
Smokey Robinson,US,artist origin audit
Smokey Robinson & The Miracles,US,artist origin audit
Ella Fitzgerald,US,artist origin audit
Louis Armstrong,US,artist origin audit
Ella Fitzgerald & Louis Armstrong,US,artist origin audit
Peggy Lee,US,artist origin audit
Oliver Wallace,US,artist origin audit
Teddy Swims,US,artist origin audit
Ed Sheeran,GB,artist origin audit
Craig David,GB,artist origin audit
Daniel Caesar,CA,artist origin audit
Ava Max,US,artist origin audit
Sia,AU,artist origin audit
Spice Girls,GB,artist origin audit
Diamond Platnumz,TZ,artist origin audit
Rihanna,BB,artist origin audit
Imagine Dragons,US,artist origin audit
Billie Eilish,US,artist origin audit
Sam Cooke,US,artist origin audit
SAM COOKE,US,artist origin audit
Bobby Vinton,US,artist origin audit
Linda Ronstadt,US,artist origin audit
Jay & The Americans,US,artist origin audit
Sonny & Cher,US,artist origin audit
The Lovin' Spoonful,US,artist origin audit
The Cascades,US,artist origin audit
The Fleetwoods,US,artist origin audit
Skeeter Davis,US,artist origin audit
The Chicks,US,artist origin audit
Jimmie Allen,US,artist origin audit
Noah Cyrus,US,artist origin audit
Kacey Musgraves,US,artist origin audit
John Denver,US,artist origin audit
Luciano Pavarotti,IT,artist origin audit
卢奇亚诺・帕瓦洛蒂,IT,artist origin audit
François-Joël Thiollier,FR,artist origin audit
弗朗索阿 · 乔尔 · 提奥叶,FR,artist origin audit
Janine Jansen,NL,artist origin audit
珍妮・扬森,NL,artist origin audit
Leonard Bernstein,US,artist origin audit
莱奥纳德・伯恩斯坦,US,artist origin audit
Cleveland Orchestra,US,artist origin audit
克里夫兰管弦乐团,US,artist origin audit
Pierre Boulez,FR,artist origin audit
皮埃尔・布列兹,FR,artist origin audit
Daniel Barenboim,AR,artist origin audit
丹尼尔・巴伦博伊姆,AR,artist origin audit
Peter Serkin,US,artist origin audit
彼得 · 塞尔金,US,artist origin audit
Nikolaus Harnoncourt,AT,artist origin audit
尼古拉斯・哈农库特,AT,artist origin audit
Royal Concertgebouw Orchestra,NL,artist origin audit
皇家音乐厅管弦乐团,NL,artist origin audit
Joshua Bell,US,artist origin audit
约书亚・贝尔,US,artist origin audit
TAEYEON,KR,artist origin audit
少女時代,KR,artist origin audit
Girls' Generation,KR,artist origin audit
SEVENTEEN,KR,artist origin audit
BLACKPINK,KR,artist origin audit
IZ*ONE,KR,artist origin audit
YOONA,KR,artist origin audit
TIFFANY,KR,artist origin audit
NewJeans,KR,artist origin audit
aespa,KR,artist origin audit
RIIZE,KR,artist origin audit
EXO,KR,artist origin audit
NIDA,KR,artist origin audit
小野麗莎,JP,artist origin audit
Lisa Ono,JP,artist origin audit
久石让,JP,artist origin audit
Joe Hisaishi,JP,artist origin audit
Cafe Music BGM Channel,JP,artist origin audit
FIRE BOMBER,JP,artist origin audit
CreepHyp,JP,artist origin audit
Utada,JP,artist origin audit
fhána,JP,artist origin audit
TRF,JP,artist origin audit
onoken,JP,artist origin audit
ONIGAWARA,JP,artist origin audit
Have a Nice Day!,JP,artist origin audit
馬修連恩,CA,artist origin audit
马修·连恩,CA,artist origin audit
Matthew Lien,CA,artist origin audit
董運昌,TW,artist origin audit
李欣芸,TW,artist origin audit
草东没有派对,TW,artist origin audit
草東沒有派對,TW,artist origin audit
黃乙玲,TW,artist origin audit
黄乙玲,TW,artist origin audit
以莉·高露,TW,artist origin audit
林宥嘉,TW,artist origin audit
林強,TW,artist origin audit
林强,TW,artist origin audit
痛仰乐队,CN,artist origin audit
痛仰樂隊,CN,artist origin audit
新裤子乐队,CN,artist origin audit
新褲子樂隊,CN,artist origin audit
宋冬野,CN,artist origin audit
Beyond,HK,artist origin audit
Eason Chan,HK,artist origin audit
張敬軒,HK,artist origin audit
张敬轩,HK,artist origin audit
羅文,HK,artist origin audit
罗文,HK,artist origin audit
仙杜拉,HK,artist origin audit
王儷婷,SG,artist origin audit
王俪婷,SG,artist origin audit
Olivia Ong,SG,artist origin audit
Teochew Clan,SG,artist origin audit
ชาติ สุชาติ,TH,artist origin audit
CKay,NG,artist origin audit
Hushabye Baby,US,artist origin audit
Dan + Shay,US,artist origin audit
LeAnn Rimes,US,artist origin audit
Gabby Barrett,US,artist origin audit
Chet Baker,US,artist origin audit
Miles Davis,US,artist origin audit
Frank Sinatra,US,artist origin audit
Charlie Puth,US,artist origin audit
Yul Brynner,US,artist origin audit
Deborah Kerr,GB,artist origin audit
Ray Charles,US,artist origin audit
Sarah Vaughan,US,artist origin audit
桃樂斯黛,US,artist origin audit
Doris Day,US,artist origin audit
The Beatles,GB,artist origin audit
動力火車,TW,artist origin audit
动力火车,TW,artist origin audit
鄧紫棋,HK,artist origin audit
邓紫棋,HK,artist origin audit
G.E.M.,HK,artist origin audit
張清芳,TW,artist origin audit
张清芳,TW,artist origin audit
TANK 呂建忠,TW,artist origin audit
TANK 吕建忠,TW,artist origin audit
王ADEN,TW,artist origin audit
小宇 宋念宇,TW,artist origin audit
茄子蛋,TW,artist origin audit
Nicholas 張棟樑,MY,artist origin audit
Nicholas 张栋梁,MY,artist origin audit
張棟樑,MY,artist origin audit
张栋梁,MY,artist origin audit
The Crane,TW,artist origin audit
单依纯,CN,artist origin audit
單依純,CN,artist origin audit
Daniel Powter,CA,artist origin audit
DJ Motive,JP,artist origin audit
George Benson,US,artist origin audit
Betty Carter,US,artist origin audit
Bahamas,CA,artist origin audit
Bill Withers,US,artist origin audit
Dave Brubeck,US,artist origin audit
泰伦斯・布兰查德,US,artist origin audit
Terence Blanchard,US,artist origin audit
麥可・吉亞奇諾,US,artist origin audit
Michael Giacchino,US,artist origin audit
Renee & Jeremy,US,artist origin audit
戴安娜克瑞兒,CA,artist origin audit
Diana Krall,CA,artist origin audit
Elle King,US,artist origin audit
Miranda Lambert,US,artist origin audit
Elle King & Miranda Lambert,US,artist origin audit
Tim McGraw,US,artist origin audit
The Journeymen,US,artist origin audit
The Band Perry,US,artist origin audit
少女时代,KR,artist origin audit
少女时代-太蒂徐,KR,artist origin audit
少女時代-太蒂徐,KR,artist origin audit
刘逸云,KR,artist origin audit
劉逸雲,KR,artist origin audit
Michael Jackson,US,artist origin audit
Josh Levi,US,artist origin audit
Ravyn Lenae,US,artist origin audit
Justin Bieber,CA,artist origin audit
Logic,US,artist origin audit
GIVĒON,US,artist origin audit
Giveon,US,artist origin audit
Jenevieve,US,artist origin audit
Ariana Grande,US,artist origin audit
The Weeknd,CA,artist origin audit
Ariana Grande & The Weeknd,US,artist origin audit
Zion.T,KR,artist origin audit
Bri Babineaux,US,artist origin audit
Khalid,US,artist origin audit
ZAYN,GB,artist origin audit
Tamia,CA,artist origin audit
Ella Mai,GB,artist origin audit
向井太一,JP,artist origin audit
dori,KR,artist origin audit
張赫宣,CN,artist origin audit
张赫宣,CN,artist origin audit
Alisa Okehazama,JP,artist origin audit
Yunosuke,JP,artist origin audit
Hatsune Miku,JP,artist origin audit
Yunosuke & Hatsune Miku,JP,artist origin audit
Glay,JP,artist origin audit
GLAY,JP,artist origin audit
Life and Time,TW,artist origin audit
Benson Boone,US,artist origin audit
亞歷山大・戴斯培,FR,artist origin audit
Alexandre Desplat,FR,artist origin audit
ROSÉ,KR,artist origin audit
Bruno Mars,US,artist origin audit
ROSÉ & Bruno Mars,KR,artist origin audit
Bette Midler,US,artist origin audit
Skid Row,US,artist origin audit
ABBA,SE,artist origin audit
Mabel,GB,artist origin audit
P!nk,US,artist origin audit
梁漢文,HK,artist origin audit
梁汉文,HK,artist origin audit
Dove Cameron,US,artist origin audit
Sofia Carson,US,artist origin audit
Booboo Stewart,US,artist origin audit
Cameron Boyce,US,artist origin audit
Enrique Iglesias,ES,artist origin audit
愛的魔幻,TW,artist origin audit
Magic Power,TW,artist origin audit
椅子乐团,TW,artist origin audit
椅子樂團,TW,artist origin audit
旺福,TW,artist origin audit
OOHYO,KR,artist origin audit
颜秋霞,HK,china storefront audit
Q,US,china storefront audit
PARTYNEXTDOOR,CA,china storefront audit
Drake,CA,china storefront audit
Instrumental All Stars,US,china storefront audit
ชาติ สุชาติ,TH,china storefront audit
Lights Follow,US,china storefront audit
Henrik Wikstrom,SE,china storefront audit
Henrik Lars Wikstrom,SE,china storefront audit
Bobby Cole,US,china storefront audit
DREAMCAR,US,china storefront audit
Eddy Arnold,US,china storefront audit
The Temptations,US,china storefront audit
Andy Williams,US,china storefront audit
跳跳舞合唱團,GB,china storefront audit
尤雅,TW,china storefront audit
汪明荃,HK,china storefront audit
鄭少秋,HK,china storefront audit
Lucas Grabeel,US,china storefront audit
Ashley Tisdale,US,china storefront audit
Zac Efron,US,china storefront audit
Vanessa Hudgens,US,china storefront audit
Corbin Bleu,US,china storefront audit
Monique Coleman,US,china storefront audit
The Shirelles,US,china storefront audit
Cheryl Freeman,US,china storefront audit
LaChanze,US,china storefront audit
Lillias White,US,china storefront audit
Roz Ryan,US,china storefront audit
Tawatha Agee,US,china storefront audit
Vaneese Thomas,US,china storefront audit
George Michael,GB,china storefront audit
Spike Jones,US,china storefront audit
Spike Jones & His City Slickers,US,china storefront audit
Disney,US,china storefront audit
TEOCHEW,TH,china storefront audit
Mark Nicodemus Tan,SG,china storefront audit
Little Island Voices,SG,china storefront audit
Pink Sweat$,US,china storefront audit
Alan Walker,NO,china storefront audit
K-391,NO,china storefront audit
Emelie Hollow,NO,china storefront audit
Shawn Mendes,CA,china storefront audit
오혁,KR,china storefront audit
Primary,KR,china storefront audit
太陽,KR,china storefront audit
Stray Kids,KR,china storefront audit
Stacey Kent,US,china storefront audit
McCoy Tyner,US,china storefront audit
Mats Eilertsen,NO,china storefront audit
Harmen Fraanje,NL,china storefront audit
Thomas Strønen,NO,china storefront audit
Norah Jones,US,china storefront audit
諾拉·瓊斯,US,china storefront audit
ITZY,KR,china storefront audit
Washed Out,US,china storefront audit
Owl City,US,china storefront audit
Carly Rae Jepsen,CA,china storefront audit
Sub Urban,US,china storefront audit
Two Feet,US,china storefront audit
Major Lazer,US,china storefront audit
DJ Snake,FR,china storefront audit
MØ,DK,china storefront audit
Flo Rida,US,china storefront audit
Nao,GB,china storefront audit
Zedd,DE,china storefront audit
Cascada,DE,china storefront audit
卡絲卡達樂團,DE,china storefront audit
Jóhann Jóhannsson,IS,china storefront audit
f(x),KR,china storefront audit
Ogryzek,PL,china storefront audit
Madeon,FR,china storefront audit
Kinoko Teikoku,JP,china storefront audit
Polaris,JP,china storefront audit
Tenniscoats,JP,china storefront audit
Ayutthaya,JP,china storefront audit
Childish Gambino,US,china storefront audit
たのしいマグロダンスP,JP,china storefront audit
Barnaby Taylor,GB,china storefront audit
Makhadzi,ZA,china storefront audit
Birdstriking,CN,china storefront audit
ABIGAIL CHAMS,TZ,china storefront audit
Marioo,TZ,china storefront audit
季风Monsoon,CN,china storefront audit
TaNaBaTa,JP,china storefront audit
iroha,JP,china storefront audit
林宝,CN,china storefront audit
Iyaz,VG,china storefront audit
Rockabye Baby!,US,china storefront audit
Free Nationals & Chronixx,JM,china storefront audit
Free Nationals,US,china storefront audit
Chronixx,JM,china storefront audit
Meg Myers,US,china storefront audit
Hayd,US,china storefront audit
Coldplay,GB,china storefront audit
keshi,US,china storefront audit
Fitz and The Tantrums,US,china storefront audit
League of Legends Music,US,china storefront audit
Cailin Russo,US,china storefront audit
Chrissy Costanza,US,china storefront audit
She Her Her Hers,JP,china storefront audit
Mako,US,china storefront audit
The Word Alive,US,china storefront audit
matryoshka,JP,china storefront audit
Lorde,NZ,china storefront audit
贰佰,CN,china storefront audit
Måneskin,IT,china storefront audit
The Marías,US,china storefront audit
347aidan,CA,china storefront audit
脸红的思春期,KR,china storefront audit
BOL4,KR,china storefront audit
BØRNS,US,china storefront audit
汪蘇瀧,CN,china storefront audit
Kaneee,JP,china storefront audit
STUTS,JP,china storefront audit
Niall Horan,IE,china storefront audit
Kesha,US,china storefront audit
Maroon 5,US,china storefront audit
Kelly Clarkson,US,china storefront audit
James Brown,US,china storefront audit
Britney Spears,US,china storefront audit
布兰妮·斯皮尔斯,US,china storefront audit
John Lennon,GB,china storefront audit
William Sheller,FR,china storefront audit
威廉・舍勒,FR,china storefront audit
Doja Cat,US,china storefront audit
Pink Floyd,GB,china storefront audit
Hanson,US,china storefront audit
Tomii,HK,china storefront audit
Jánnos Eolou,GR,china storefront audit
JayDon,US,china storefront audit
Paradise,US,china storefront audit
Jojo's ASMR,AU,china storefront audit
Tim Laws,GB,china storefront audit
Girls' Generation-TTS,KR,china storefront audit
一指團體,CN,china storefront audit
LIX,JP,china storefront audit
呼煙魔,JP,china storefront audit
KOENMA,JP,china storefront audit
Elekki Bran,JP,china storefront audit
Dino Siani,IT,china storefront audit
Daft Punk,FR,fast country lookup seed
Dario Junior,BR,fast country lookup seed
