section,setting,serendipity_mean,cultural_calibration_kl_mean,minority_exposure_at_k_mean,notes
ablation_v2_main_gemini,full,0.8224808804608627,1.906045893259054,0.36291666666666667,classic module ablation
ablation_v2_main_gemini,no_domain,0.8311560609733096,1.90575772485812,0.3471666666666667,classic module ablation
ablation_v2_main_gemini,no_constraints,0.8413235803875848,1.9060395191635369,0.33858333333333335,classic module ablation
ablation_v2_main_gemini,no_ot,0.8238579559204848,1.9060464368824406,0.3611666666666667,classic module ablation
calibration_sweep_v4_routeA_small_culturemert,dcas_full_ot,0.8501348012966086,1.1439147723393892,0.302734375,inference-time hyperparameter sweep
calibration_sweep_v4_routeA_small_culturemert,dcas_ot_cal_p1,0.8377972827543051,1.013613347085827,0.4373697916666667,inference-time hyperparameter sweep
calibration_sweep_v4_routeA_small_culturemert,dcas_ot_cal_p2_target,0.8406298893109097,1.0212990236108153,0.5095052083333333,inference-time hyperparameter sweep
calibration_sweep_v4_routeA_small_culturemert,dcas_ot_cal_p3_balanced,0.8384035804985168,1.0435748159092122,0.5794270833333334,inference-time hyperparameter sweep
calibration_sweep_v4_routeA_small_culturemert,dcas_ot_cal_p4_minor,0.8370797698636433,1.0747450573727704,0.6798177083333333,inference-time hyperparameter sweep
calibration_sweep_v4_routeA_small_culturemert,dcas_ot_cal_p5_ultra_minor,0.83845432359516,1.0895369249341367,0.7528645833333333,inference-time hyperparameter sweep
calibration_sweep_v4_main_culturemert,dcas_full_ot,0.8578608207929557,2.082580737495161,0.24602083333333333,inference-time hyperparameter sweep
calibration_sweep_v4_main_culturemert,dcas_ot_cal_p1,0.8370891095765308,2.0228399940088932,0.34791666666666665,inference-time hyperparameter sweep
calibration_sweep_v4_main_culturemert,dcas_ot_cal_p2_target,0.8315641066075367,2.029637808269883,0.4023333333333333,inference-time hyperparameter sweep
calibration_sweep_v4_main_culturemert,dcas_ot_cal_p3_balanced,0.8298564343453996,2.039980104561892,0.4525416666666667,inference-time hyperparameter sweep
calibration_sweep_v4_main_culturemert,dcas_ot_cal_p4_minor,0.8281576284503037,2.0477411034604738,0.5302708333333334,inference-time hyperparameter sweep
calibration_sweep_v4_main_culturemert,dcas_ot_cal_p5_ultra_minor,0.8296226630669543,2.052704618021914,0.5837916666666667,inference-time hyperparameter sweep
calibration_sweep_v4_routeA_small_gemini,dcas_full_ot,0.8605679910019578,1.5723317814597921,0.24231770833333333,inference-time hyperparameter sweep
calibration_sweep_v4_routeA_small_gemini,dcas_ot_cal_p1,0.8667287657046964,1.5486355631249957,0.4359375,inference-time hyperparameter sweep
calibration_sweep_v4_routeA_small_gemini,dcas_ot_cal_p2_target,0.8641977005570803,1.5501961971476819,0.49973958333333335,inference-time hyperparameter sweep
calibration_sweep_v4_routeA_small_gemini,dcas_ot_cal_p3_balanced,0.8619872644535952,1.5534537154589554,0.5686197916666667,inference-time hyperparameter sweep
calibration_sweep_v4_routeA_small_gemini,dcas_ot_cal_p4_minor,0.8585719854067286,1.557353426480434,0.6528645833333333,inference-time hyperparameter sweep
calibration_sweep_v4_routeA_small_gemini,dcas_ot_cal_p5_ultra_minor,0.8566134366839715,1.5594957960012816,0.7084635416666667,inference-time hyperparameter sweep
