dataset,backbone,method,serendipity_mean,cultural_calibration_kl_mean,minority_exposure_at_k_mean,target_culture_prob_mean
v4_main,culturemert,knn,0.6445218086156944,2.234130475144749,0.21306250000000002,0.14195433037665983
v4_main,culturemert,bpr_lambdamart_hybrid,0.5558271027724089,2.0965806578046946,0.26808333333333334,0.17058457946404815
v4_main,culturemert,dcas_full_ot,0.8578608207929557,2.082580737495161,0.24602083333333333,0.17446722072859605
v4_main,culturemert,dcas_full_ot_calibrated_target,0.8315641066075367,2.029637808269883,0.4023333333333333,0.18796365518743793
v4_main,culturemert,dcas_full_ot_calibrated_minor,0.8281576284503037,2.0477411034604738,0.5302708333333334,0.18338641971970598
v4_routeA_small,culturemert,knn,0.44518172144596485,1.1741739531556707,0.24244791666666668,0.41695414506830275
v4_routeA_small,culturemert,bpr_lambdamart_hybrid,0.5017876630094839,1.1136285667018833,0.15729166666666666,0.43331190121049684
v4_routeA_small,culturemert,dcas_full_ot,0.8501348012966086,1.1439147723393892,0.302734375,0.42436809504094225
v4_routeA_small,culturemert,dcas_full_ot_calibrated_target,0.8406298893109097,1.0212990236108153,0.5095052083333333,0.46344610877955955
v4_routeA_small,culturemert,dcas_full_ot_calibrated_minor,0.8370797698636433,1.0747450573727704,0.6798177083333333,0.4456908156474431
v4_main,gemini,knn,0.8542488298438041,2.33376265270097,0.2245625,0.10867926588902871
v4_main,gemini,bpr_lambdamart_hybrid,0.7883640357313463,2.318281190470735,0.274625,0.11169692341548701
v4_main,gemini,dcas_full_ot,0.8542503418559114,2.32504313200185,0.19597916666666668,0.11034793322595457
v4_main,gemini,dcas_full_ot_calibrated_target,0.824492556321999,2.310405659135604,0.37597916666666664,0.11326693375905354
v4_main,gemini,dcas_full_ot_calibrated_minor,0.8208598428254904,2.3129104862101895,0.4799583333333333,0.11276259742677212
v4_routeA_small,gemini,knn,0.7880963249365048,1.5801360410401368,0.18424479166666666,0.2797008409785728
v4_routeA_small,gemini,bpr_lambdamart_hybrid,0.7266650412215804,1.567630324131713,0.15130208333333334,0.28285134901913506
v4_routeA_small,gemini,dcas_full_ot,0.8605679910019578,1.5723317814597921,0.24231770833333333,0.28166776422100764
v4_routeA_small,gemini,dcas_full_ot_calibrated_target,0.8641977005570803,1.5501961971476819,0.49973958333333335,0.28733500054416555
v4_routeA_small,gemini,dcas_full_ot_calibrated_minor,0.8585719854067286,1.557353426480434,0.6528645833333333,0.28548222423220676
