culture_id,domain_definition,candidate_rank,source_name,source_url,license_type,license_evidence_url,audio_access,estimated_usable_tracks,fit_assessment,license_assessment,status,decision,next_action
china,Chinese traditional instrumental music,1,ccmusic-database/CTIS,https://huggingface.co/datasets/ccmusic-database/CTIS,CC-BY-NC-ND-4.0,https://huggingface.co/datasets/ccmusic-database/CTIS,public_download,400+,Strong fit for Chinese traditional instrument domain; enough scale for v2,Clear non-commercial research use with explicit dataset license,ready,adopt,Run a small import probe and inspect instrument balance before full import
china,Chinese traditional instrumental music,2,ccmusic-database/erhu_playing_tech,https://huggingface.co/ccmusic-database,Unknown_from_collection_page,https://huggingface.co/ccmusic-database,public_download,400+,Useful as a narrow backup if CTIS cleaning becomes too broad,Collection page exists but per-dataset license still needs direct confirmation,provisional,backup_only,Only use after checking the exact dataset card license
germany,German music domain narrowed to one sub-tradition only,1,Schubert Winterreise Dataset,https://zenodo.org/records/5139893,CC-BY-3.0,https://zenodo.org/records/5139893,public_download,under_100,Legally clear and culturally coherent but far too small for a 400+ target domain,Open license confirmed but scale is insufficient,provisional,not_primary,Keep only as a tiny supplementary or methodological probe
germany,German music domain narrowed to one sub-tradition only,2,Open Music Academy German folk recordings,https://openmusic.academy/docs/ezYvknrxw7HVWX2yFHt3Eo/chorsingen-easy-peasy-die-gedanken-sind-frei,CC-BY,https://openmusic.academy/docs/ezYvknrxw7HVWX2yFHt3Eo/chorsingen-easy-peasy-die-gedanken-sind-frei,manual_download,under_100,Musically aligned with German folk direction but clearly too small and manual to serve as main corpus,Open license present on individual pages but no large unified dataset export,provisional,not_primary,Use only as a small legally clean supplement if needed
germany,German music domain narrowed to one sub-tradition only,3,Europeana Westphalian Folk Song and Sound Archive,https://www.europeana.eu/es/collections/organisation/1815-westphalian-folk-song-and-sound-archive,CC-BY-NC-SA-3.0_in_50_item_probe,https://api.europeana.eu/record/v2/search.json?wskey=api2demo&query=DATA_PROVIDER:%22Westphalian%20Folk%20Song%20and%20Sound%20Archive%22&rows=5&profile=standard&cursor=*,public_download_via_direct_mp3_subset,1000+,50-item audit plus repeated cursor-based batch import now support a stable Germany domain and have already produced 253 deduplicated audio items in v2-main,Item-level rights look stable on the sampled set; the remaining technical improvement is to move from api2demo to a dedicated Europeana API key for deeper and more reliable expansion,ready,adopt,Keep as Germany main source; current scale is sufficient for embedding construction and later expansion can use the same DATA_PROVIDER+cursor workflow
spain,Spanish domain narrowed to flamenco or one folk tradition only,1,Corpus COFLA,https://computationalethnomusicology.wordpress.com/datasets/,Research_access_on_request,https://computationalethnomusicology.wordpress.com/datasets/,metadata_public_audio_request,400+,Excellent musical fit for flamenco and now viable under a restricted-research-only policy if audio access is granted on request,Not open-download but compatible with a documented non-redistributable research-use workflow,provisional,restricted_access_candidate,Request audio access for research use and record the granted terms in the v2 access log
spain,Spanish domain narrowed to flamenco or one folk tradition only,2,Wikimedia Commons flamenco audio categories,https://commons.wikimedia.org/wiki/Category:Flamenco_songs_by_Rosario_Amador,CC-BY-3.0_or_similar_per_item,https://commons.wikimedia.org/wiki/Category:Flamenco_songs_by_Rosario_Amador,manual_download,under_100,Legally open and thematically correct for flamenco seed examples,Current known categories are far too small and fragmented to serve as the main corpus,provisional,small_seed_only,Keep as a legal seed set or qualitative example pool rather than main source
japan,Japanese music audio with preference for traditional repertoire,1,National Diet Library Historical Recordings Collection (Rekion),https://www.ndl.go.jp/en/news/fy2020/210127_01.html,Institutional_or_online_access_nonredistributable,https://www.ndl.go.jp/en/news/fy2021/220225_01.html,online_streaming_plus_partner_library_access,1000+,Large official historical audio collection that becomes viable once restricted institutional access is accepted as part of the workflow,Access is real but not equivalent to open redistribution; item-level availability and reuse boundaries must be documented carefully,provisional,restricted_access_candidate,Audit online-accessible items and write a non-redistribution access protocol before domain adoption
japan,Japanese music audio with preference for traditional repertoire,2,tts-dataset/japanese-singing-voice,https://huggingface.co/datasets/tts-dataset/japanese-singing-voice,CC-BY-NC-4.0,https://huggingface.co/datasets/tts-dataset/japanese-singing-voice,gated_download,1000+,Large source that would make Japan engineering-feasible once domain is widened to japanese_music_audio,License is explicit but the dataset is gated and therefore not directly importable without authenticated access,provisional,restricted_access_candidate,Wait for HF access approval and record granted access as a restricted-source workflow if approved
japan,Japanese music audio with preference for traditional repertoire,3,RWC Music Database (traditional Japanese subset in genre DB),https://staff.aist.go.jp/m.goto/RWC-MDB/rwc-mdb-g.html,CC-BY-NC-4.0_via_2026_re-release,https://zenodo.org/records/17177919,public_download,under_100,Good culturally aligned open supplement for a Japan domain centered on larger restricted-access sources,License is clear on the Zenodo re-release but the usable traditional subset appears limited,provisional,small_seed_only,Use as an open supplement or sanity-check seed set rather than the main Japan corpus
