lane,version,status,stage,kind,canonical_path,notes
mainline,v4,current,dataset_config,config,E:/Desktop/Echo/configs/dataset/research_dataset_v4_main_from_v3.json,primary V4 main dataset manifest
mainline,v4,current,dataset_release,storage,E:/Desktop/Echo/storage/public/research_dataset_v4/main,primary evidence dataset
mainline,v4,current,sanity_dataset_config,config,E:/Desktop/Echo/configs/dataset/research_dataset_v4_routeA_small.json,routeA_small sanity-check manifest
mainline,v4,current,sanity_dataset_release,storage,E:/Desktop/Echo/storage/public/research_dataset_v4/routeA_small,sanity-check dataset
mainline,v4,current,data_docs,docs,E:/Desktop/Echo/docs/research_dataset_v4,V4 data contract and execution reports
mainline,v4,current,train_config_culturemert,config,E:/Desktop/Echo/configs/train/train_v4_main_culturemert_stage3.run.json,primary stage3 train config
mainline,v4,current,train_config_gemini,config,E:/Desktop/Echo/configs/train/train_v4_main_gemini_stage3.run.json,primary stage3 train config
mainline,v4,current,train_config_routeA_culturemert,config,E:/Desktop/Echo/configs/train/train_v4_routeA_small_culturemert_stage3.run.json,sanity-check stage3 train config
mainline,v4,current,train_config_routeA_gemini,config,E:/Desktop/Echo/configs/train/train_v4_routeA_small_gemini_stage3.run.json,sanity-check stage3 train config
mainline,v4,current,model_culturemert,storage,E:/Desktop/Echo/storage/models/dcas_full_v4_main_culturemert_stage3.pt,primary mainline checkpoint
mainline,v4,current,model_gemini,storage,E:/Desktop/Echo/storage/models/dcas_full_v4_main_gemini_stage3.pt,primary mainline checkpoint
mainline,v4,current,benchmark_config_culturemert,config,E:/Desktop/Echo/configs/benchmark/recommender_benchmark_v4_main_culturemert_stage3_lambdamart.run.json,primary main benchmark
mainline,v4,current,benchmark_config_gemini,config,E:/Desktop/Echo/configs/benchmark/recommender_benchmark_v4_main_gemini_stage3_lambdamart.run.json,primary main benchmark
mainline,v4,current,benchmark_results_culturemert,reports,E:/Desktop/Echo/reports/benchmarks/v4_main_culturemert_stage3_lambdamart,primary main benchmark results
mainline,v4,current,benchmark_results_gemini,reports,E:/Desktop/Echo/reports/benchmarks/v4_main_gemini_stage3_lambdamart,primary main benchmark results
mainline,v4,current,benchmark_results_routeA_culturemert,reports,E:/Desktop/Echo/reports/benchmarks/v4_routeA_small_culturemert_stage3_lambdamart,sanity-check benchmark results
mainline,v4,current,benchmark_results_routeA_gemini,reports,E:/Desktop/Echo/reports/benchmarks/v4_routeA_small_gemini_stage3_lambdamart,sanity-check benchmark results
mainline,v4,current,hparam_config_main,config,E:/Desktop/Echo/configs/benchmark/recommender_benchmark_v4_main_culturemert_stage3_calibration_sweep.run.json,mainline calibration sweep
mainline,v4,current,hparam_results_main,reports,E:/Desktop/Echo/reports/hparam/v4_main_culturemert_stage3_calibration_sweep,mainline calibration sweep results
mainline,v4,current,hparam_results_routeA_culturemert,reports,E:/Desktop/Echo/reports/hparam/v4_routeA_small_culturemert_stage3_calibration_sweep,sanity-check calibration sweep
mainline,v4,current,hparam_results_routeA_gemini,reports,E:/Desktop/Echo/reports/hparam/v4_routeA_small_gemini_stage3_calibration_sweep,sanity-check calibration sweep
mainline,v4,current,pal_prepare,config,E:/Desktop/Echo/configs/pal/pal_v4_main_culturemert_prepare.run.json,PAL-ready preparation
mainline,v4,current,pal_real,config,E:/Desktop/Echo/configs/pal/pal_v4_main_culturemert_real.run.json,real PAL execution config template
mainline,v4,current,pal_docs,docs,E:/Desktop/Echo/docs/research_dataset_v4/V4_REAL_PAL_WORKFLOW_2026-03-21_CN.md,PAL-ready workflow explanation
mainline,v4,current,workspace_audit,reports,E:/Desktop/Echo/reports/audits/phase1_workspace_scan_2026-03-21,phase1 workspace diagnostics
mainline,v4,current,academic_archaeology,reports,E:/Desktop/Echo/reports/audits/phase2_academic_archaeology_2026-03-21,phase2 academic archaeology
mainline,v4,current,manuscript_assets,docs,E:/Desktop/Echo/docs/manuscript,current paper assets
mainline,v4,current,manuscript_main,paper,E:/Desktop/Echo/paper/ismir2026_draft.tex,current ISMIR draft
legacy,v3,historical,dataset_docs,docs,E:/Desktop/Echo/docs/research_dataset_v3,v3 transition and baseline docs
legacy,v3,historical,benchmark_results,reports,E:/Desktop/Echo/reports/benchmarks/v3_main_culturemert_stage3_lambdamart,v3 stage3 benchmark line
legacy,v3,historical,baseline_comparison,reports,E:/Desktop/Echo/reports/baseline_comparison/v3_main_culturemert,v3 variant comparison
legacy,v2,historical,dataset_docs,docs,E:/Desktop/Echo/docs/research_dataset_v2,v2 source audit and platform docs
legacy,v2,historical,pal_and_ablation,docs,E:/Desktop/Echo/docs/research_dataset_v2/GEMINI_ABLATION_AND_PAL_RESULTS_CN.md,early Gemini/PAL evidence
legacy,v1,historical,profile,reports,E:/Desktop/Echo/reports/research_dataset_v1_profile.md,earliest dataset profile
side_line,routeA,historical,public_small_line,storage,E:/Desktop/Echo/storage/public/routeA_phase2_cn,legacy public small-line assets
side_line,routeA,historical,phase_reports,reports,E:/Desktop/Echo/reports/routeA_phase3_ablation_cn,routeA ablation and phase reports
scratch,tmp,non_mainline,embedding_smoke,config,E:/Desktop/Echo/configs/embedding/gemini_embedding2_v3_main.api_smoke.tmp.json,temporary smoke config not part of latest paper line
