participant_id,task_id,user_id,base_user_culture,target_culture,seed_track_id,candidate_a_track_id,candidate_a_method,candidate_b_track_id,candidate_b_method,baseline_track_id,pal_track_id
P02,HP001,russia_u008,russia,india,russia_0060,india_saraga_0054,baseline_bpr_listwise_hybrid,india_saraga_0089,pal_ot_cal_p3_balanced,india_saraga_0054,india_saraga_0089
P02,HP002,india_u023,india,china,india_saraga_0091,china_ctis_0007,baseline_bpr_listwise_hybrid,china_ctis_0030,pal_ot_cal_p3_balanced,china_ctis_0007,china_ctis_0030
P02,HP003,china_u006,china,india,china_jingju_0008,india_saraga_0083,baseline_bpr_listwise_hybrid,india_saraga_0038,pal_ot_cal_p3_balanced,india_saraga_0083,india_saraga_0038
P02,HP004,china_u011,china,great_britain,china_jingju_0024,great_britain_0093,baseline_bpr_listwise_hybrid,great_britain_0102,pal_ot_cal_p3_balanced,great_britain_0093,great_britain_0102
P02,HP005,germany_u007,germany,great_britain,germany_0092,great_britain_0018,baseline_bpr_listwise_hybrid,great_britain_0007,pal_ot_cal_p3_balanced,great_britain_0018,great_britain_0007
P02,HP006,france_u009,france,turkey,france_0070,turkey_modern_0096,baseline_bpr_listwise_hybrid,turkey_modern_0022,pal_ot_cal_p3_balanced,turkey_modern_0096,turkey_modern_0022
P02,HP007,indonesia_u003,indonesia,modern_english_pop,indonesia_fma_0010,modern_english_pop_0014,pal_ot_cal_p3_balanced,modern_english_pop_0083,baseline_bpr_listwise_hybrid,modern_english_pop_0083,modern_english_pop_0014
P02,HP008,italy_u020,italy,modern_english_pop,italy_0009,modern_english_pop_0081,pal_ot_cal_p3_balanced,modern_english_pop_0044,baseline_bpr_listwise_hybrid,modern_english_pop_0044,modern_english_pop_0081
P02,HP009,france_u009,france,china,france_0077,china_opencpop_0031,pal_ot_cal_p3_balanced,china_ctis_0043,baseline_bpr_listwise_hybrid,china_ctis_0043,china_opencpop_0031
P02,HP010,turkey_u005,turkey,italy,turkey_modern_0143,italy_0056,baseline_bpr_listwise_hybrid,italy_0007,pal_ot_cal_p3_balanced,italy_0056,italy_0007
P02,HP011,great_britain_u000,great_britain,germany,great_britain_0062,germany_0003,pal_ot_cal_p3_balanced,germany_0011,baseline_bpr_listwise_hybrid,germany_0011,germany_0003
P02,HP012,turkey_u008,turkey,france,turkey_modern_0120,france_0025,baseline_bpr_listwise_hybrid,france_0028,pal_ot_cal_p3_balanced,france_0025,france_0028
