task_id,seed_track_id,candidate_a_track_id,candidate_b_track_id
HP001,russia_0060,india_saraga_0054,india_saraga_0089
HP002,india_saraga_0091,china_ctis_0030,china_ctis_0007
HP003,china_jingju_0008,india_saraga_0083,india_saraga_0038
HP004,china_jingju_0024,great_britain_0102,great_britain_0093
HP005,germany_0092,great_britain_0018,great_britain_0007
HP006,france_0070,turkey_modern_0022,turkey_modern_0096
HP007,indonesia_fma_0010,modern_english_pop_0014,modern_english_pop_0083
HP008,italy_0009,modern_english_pop_0044,modern_english_pop_0081
HP009,france_0077,china_opencpop_0031,china_ctis_0043
HP010,turkey_modern_0143,italy_0007,italy_0056
HP011,great_britain_0062,germany_0003,germany_0011
HP012,turkey_modern_0120,france_0028,france_0025
