path,category,flavor,tracked_status,top_level_keys,n_scalar_params,seed_keys,hardware_keys
configs/benchmark/log_benchmark_yambda_5b_subset.run.json,benchmark,run,tracked,bootstrap_samples;bootstrap_seed;bpr;bpr_hybrid;bpr_listwise_hybrid;bpr_tree_hybrid;dcas_train;holdout_per_user;interactions;k_values;methods;min_train_interactions;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,109,bootstrap_seed;bpr.seed;bpr_hybrid.seed;bpr_listwise_hybrid.seed;bpr_tree_hybrid.seed;dcas_train.seed,prefer_cuda=True;bpr.prefer_cuda=True;bpr_hybrid.prefer_cuda=True;bpr_listwise_hybrid.prefer_cuda=True;bpr_tree_hybrid.prefer_cuda=True;dcas_train.prefer_cuda=True
configs/benchmark/recommender_benchmark_culturemert.example.json,benchmark,example,tracked,auto_synthesize_interactions;bootstrap_samples;bootstrap_seed;hybrid_weights;interactions;k;metadata;methods;minority_quantile;mlp;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,58,auto_synthesize_interactions.seed;bootstrap_seed;mlp.seed,prefer_cuda=False;mlp.prefer_cuda=False
configs/benchmark/recommender_benchmark_culturemert.run.json,benchmark,run,local_or_ignored,auto_synthesize_interactions;bootstrap_samples;bootstrap_seed;hybrid_weights;interactions;k;metadata;methods;minority_quantile;mlp;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,58,auto_synthesize_interactions.seed;bootstrap_seed;mlp.seed,prefer_cuda=False;mlp.prefer_cuda=False
configs/benchmark/recommender_benchmark_gemini.example.json,benchmark,example,tracked,auto_synthesize_interactions;bootstrap_samples;bootstrap_seed;hybrid_weights;interactions;k;metadata;methods;minority_quantile;mlp;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,58,auto_synthesize_interactions.seed;bootstrap_seed;mlp.seed,prefer_cuda=False;mlp.prefer_cuda=False
configs/benchmark/recommender_benchmark_gemini.run.json,benchmark,run,local_or_ignored,auto_synthesize_interactions;bootstrap_samples;bootstrap_seed;hybrid_weights;interactions;k;metadata;methods;minority_quantile;mlp;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,58,auto_synthesize_interactions.seed;bootstrap_seed;mlp.seed,prefer_cuda=False;mlp.prefer_cuda=False
configs/benchmark/recommender_benchmark_public_routeA_phase2_cn.run.json,benchmark,run,local_or_ignored,bootstrap_samples;bootstrap_seed;bpr;bpr_hybrid;bpr_listwise_hybrid;bpr_tree_hybrid;interactions;k;methods;minority_quantile;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,130,bootstrap_seed;bpr.seed;bpr_hybrid.seed;bpr_listwise_hybrid.seed;bpr_tree_hybrid.seed,prefer_cuda=True;bpr.prefer_cuda=True;bpr_hybrid.prefer_cuda=True;bpr_listwise_hybrid.prefer_cuda=True;bpr_tree_hybrid.prefer_cuda=True
configs/benchmark/recommender_benchmark_toy.example.json,benchmark,example,tracked,bootstrap_samples;bootstrap_seed;hybrid_weights;interactions;k;methods;minority_quantile;mlp;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,49,bootstrap_seed;mlp.seed,prefer_cuda=False;mlp.prefer_cuda=False
configs/benchmark/recommender_benchmark_v3_culturemert.run.json,benchmark,run,local_or_ignored,auto_synthesize_interactions;bootstrap_samples;bootstrap_seed;hybrid_weights;interactions;k;metadata;methods;minority_quantile;mlp;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,58,auto_synthesize_interactions.seed;bootstrap_seed;mlp.seed,prefer_cuda=True;mlp.prefer_cuda=True
configs/benchmark/recommender_benchmark_v3_culturemert_open.run.json,benchmark,run,tracked,auto_synthesize_interactions;bootstrap_samples;bootstrap_seed;hybrid_weights;interactions;k;metadata;methods;minority_quantile;mlp;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,83,auto_synthesize_interactions.seed;bootstrap_seed;mlp.seed,prefer_cuda=True;mlp.prefer_cuda=True
configs/benchmark/recommender_benchmark_v3_culturemert_stage3.run.json,benchmark,run,tracked,auto_synthesize_interactions;bootstrap_samples;bootstrap_seed;hybrid_weights;interactions;k;metadata;methods;minority_quantile;mlp;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,83,auto_synthesize_interactions.seed;bootstrap_seed;mlp.seed,prefer_cuda=True;mlp.prefer_cuda=True
configs/benchmark/recommender_benchmark_v3_culturemert_stage3_bpr.run.json,benchmark,run,tracked,auto_synthesize_interactions;bootstrap_samples;bootstrap_seed;bpr;hybrid_weights;interactions;k;metadata;methods;minority_quantile;mlp;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,95,auto_synthesize_interactions.seed;bootstrap_seed;mlp.seed;bpr.seed,prefer_cuda=True;mlp.prefer_cuda=True;bpr.prefer_cuda=True
configs/benchmark/recommender_benchmark_v3_culturemert_stage3_bprhybrid.run.json,benchmark,run,tracked,auto_synthesize_interactions;bootstrap_samples;bootstrap_seed;bpr;bpr_hybrid;hybrid_weights;interactions;k;metadata;methods;minority_quantile;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,83,auto_synthesize_interactions.seed;bootstrap_seed;bpr.seed;bpr_hybrid.seed,prefer_cuda=True;bpr.prefer_cuda=True;bpr_hybrid.prefer_cuda=True
