manifest_path,dataset_dir,top_dataset,track_artifact,model_id,n_tracks,dim,max_seconds,window_count,n_errors,metadata_file,metadata_rows,n_columns,culture_unique,source_unique,top_cultures,top_sources
storage/public/gtzan_demo/tracks.npz.manifest.json,storage/public/gtzan_demo,gtzan_demo,tracks.npz,ntua-slp/CultureMERT-95M,12,768,5.0,1,0,storage/public/gtzan_demo/metadata.csv,12,7,1,1,west:12,sanchit-gandhi/gtzan:12
storage/public/research_dataset_v1/tracks.npz.manifest.json,storage/public/research_dataset_v1,research_dataset_v1,tracks.npz,ntua-slp/CultureMERT-95M,1600,768,6.0,1,0,storage/public/research_dataset_v1/metadata_merged.csv,1600,10,4,4,west:400;india:400;turkey:400;china:400,sanchit-gandhi/gtzan:400;neerajaabhyankar/hindustani-raag-small:400;bilal63/turkish_music_emotion_dataset:400;ccmusic-database/erhu_playing_tech:400
storage/public/research_dataset_v1/tracks_probe.npz.manifest.json,storage/public/research_dataset_v1,research_dataset_v1,tracks_probe.npz,ntua-slp/CultureMERT-95M,5,768,6.0,1,0,storage/public/research_dataset_v1/metadata_merged.csv,1600,10,4,4,west:400;india:400;turkey:400;china:400,sanchit-gandhi/gtzan:400;neerajaabhyankar/hindustani-raag-small:400;bilal63/turkish_music_emotion_dataset:400;ccmusic-database/erhu_playing_tech:400
storage/public/research_dataset_v2/tracks_culturemert_v2_main.npz.manifest.json,storage/public/research_dataset_v2,research_dataset_v2,tracks_culturemert_v2_main.npz,ntua-slp/CultureMERT-95M,1253,768,30.0,1,0,storage/public/research_dataset_v2/metadata_v2_main_clean.csv,1253,16,5,5,germany:253;china:250;india:250;anglo_pop:250;kazakhstan:250,europeana_search:253;ccmusic-database/CTIS:250;neerajaabhyankar/hindustani-raag-small:250;vtsouval/mtg_jamendo_autotagging:250;rtrk/kazakh-traditional-audio:250
storage/public/research_dataset_v2/tracks_gemini_embedding2_alt_kazakhstan.npz.manifest.json,storage/public/research_dataset_v2,research_dataset_v2,tracks_gemini_embedding2_alt_kazakhstan.npz,gemini-embedding-2-preview,,,30.0,1,0,storage/public/research_dataset_v2/metadata_v2_main_clean.csv,1253,16,5,5,germany:253;china:250;india:250;anglo_pop:250;kazakhstan:250,europeana_search:253;ccmusic-database/CTIS:250;neerajaabhyankar/hindustani-raag-small:250;vtsouval/mtg_jamendo_autotagging:250;rtrk/kazakh-traditional-audio:250
storage/public/research_dataset_v2/tracks_gemini_embedding2_main.npz.manifest.json,storage/public/research_dataset_v2,research_dataset_v2,tracks_gemini_embedding2_main.npz,gemini-embedding-2-preview,1253,768,30.0,1,0,storage/public/research_dataset_v2/metadata_v2_main_clean.csv,1253,16,5,5,germany:253;china:250;india:250;anglo_pop:250;kazakhstan:250,europeana_search:253;ccmusic-database/CTIS:250;neerajaabhyankar/hindustani-raag-small:250;vtsouval/mtg_jamendo_autotagging:250;rtrk/kazakh-traditional-audio:250
storage/public/research_dataset_v2/tracks_gemini_embedding2_main_api_smoke.npz.manifest.json,storage/public/research_dataset_v2,research_dataset_v2,tracks_gemini_embedding2_main_api_smoke.npz,gemini-embedding-2-preview,1,768,30.0,1,0,storage/public/research_dataset_v2/metadata_v2_main_clean.csv,1253,16,5,5,germany:253;china:250;india:250;anglo_pop:250;kazakhstan:250,europeana_search:253;ccmusic-database/CTIS:250;neerajaabhyankar/hindustani-raag-small:250;vtsouval/mtg_jamendo_autotagging:250;rtrk/kazakh-traditional-audio:250
storage/public/research_dataset_v2/tracks_gemini_embedding2_main_api_smoke10.npz.manifest.json,storage/public/research_dataset_v2,research_dataset_v2,tracks_gemini_embedding2_main_api_smoke10.npz,gemini-embedding-2-preview,10,768,30.0,1,0,storage/public/research_dataset_v2/metadata_v2_main_clean.csv,1253,16,5,5,germany:253;china:250;india:250;anglo_pop:250;kazakhstan:250,europeana_search:253;ccmusic-database/CTIS:250;neerajaabhyankar/hindustani-raag-small:250;vtsouval/mtg_jamendo_autotagging:250;rtrk/kazakh-traditional-audio:250
storage/public/research_dataset_v3/tracks_culturemert_v3_main.npz.manifest.json,storage/public/research_dataset_v3,research_dataset_v3,tracks_culturemert_v3_main.npz,ntua-slp/CultureMERT-95M,1122,768,30.0,1,0,storage/public/research_dataset_v3/metadata_v3_main_harmonized.csv,1122,22,10,8,turkey:150;china:145;modern_english_pop:120;india:108;germany:105,Free Music Archive:544;bilal63/turkish_music_emotion_dataset:150;vtsouval/mtg_jamendo_autotagging:120;saraga_hindustani:108;ccmusic-database/CTIS:65
storage/public/research_dataset_v3/tracks_culturemert_v3_main_mw3.npz.manifest.json,storage/public/research_dataset_v3,research_dataset_v3,tracks_culturemert_v3_main_mw3.npz,ntua-slp/CultureMERT-95M,1106,768,30.0,3,16,storage/public/research_dataset_v3/metadata_v3_main_harmonized.csv,1122,22,10,8,turkey:150;china:145;modern_english_pop:120;india:108;germany:105,Free Music Archive:544;bilal63/turkish_music_emotion_dataset:150;vtsouval/mtg_jamendo_autotagging:120;saraga_hindustani:108;ccmusic-database/CTIS:65
storage/public/research_dataset_v3/tracks_culturemert_v3_smoke_gpu.npz.manifest.json,storage/public/research_dataset_v3,research_dataset_v3,tracks_culturemert_v3_smoke_gpu.npz,ntua-slp/CultureMERT-95M,1,768,30.0,1,0,storage/public/research_dataset_v3/metadata_v3_main_harmonized.csv,1122,22,10,8,turkey:150;china:145;modern_english_pop:120;india:108;germany:105,Free Music Archive:544;bilal63/turkish_music_emotion_dataset:150;vtsouval/mtg_jamendo_autotagging:120;saraga_hindustani:108;ccmusic-database/CTIS:65
storage/public/research_dataset_v3/tracks_gemini_embedding2_main.npz.manifest.json,storage/public/research_dataset_v3,research_dataset_v3,tracks_gemini_embedding2_main.npz,gemini-embedding-2-preview,1122,768,30.0,1,0,storage/public/research_dataset_v3/metadata_v3_main_harmonized.csv,1122,22,10,8,turkey:150;china:145;modern_english_pop:120;india:108;germany:105,Free Music Archive:544;bilal63/turkish_music_emotion_dataset:150;vtsouval/mtg_jamendo_autotagging:120;saraga_hindustani:108;ccmusic-database/CTIS:65
storage/public/research_dataset_v3/tracks_gemini_embedding2_smoke.npz.manifest.json,storage/public/research_dataset_v3,research_dataset_v3,tracks_gemini_embedding2_smoke.npz,gemini-embedding-2-preview,3,768,30.0,1,0,storage/public/research_dataset_v3/metadata_v3_main_harmonized.csv,1122,22,10,8,turkey:150;china:145;modern_english_pop:120;india:108;germany:105,Free Music Archive:544;bilal63/turkish_music_emotion_dataset:150;vtsouval/mtg_jamendo_autotagging:120;saraga_hindustani:108;ccmusic-database/CTIS:65
