path,suite,extension,figure_type,width,height,issue_flags
reports/figures/project_overview_2026-03-19/pal_constraint_flow.png,project_overview_2026-03-19,png,flow_diagram,1565,841,
reports/figures/project_overview_2026-03-19/pal_round_metric_trajectory.png,project_overview_2026-03-19,png,other,1867,734,low_raster_resolution
reports/figures/project_overview_2026-03-19/pal_task_culture_distribution.png,project_overview_2026-03-19,png,distribution_plot,1781,915,
reports/figures/project_overview_2026-03-19/pal_uncertainty_distribution.png,project_overview_2026-03-19,png,distribution_plot,1564,805,
reports/figures/project_overview_2026-03-19/public_routeA_phase2_cn_lambdamart_frontier.png,project_overview_2026-03-19,png,benchmark_plot,2182,854,
reports/figures/project_overview_2026-03-19/public_routeA_phase2_cn_lambdamart_metric_grid.png,project_overview_2026-03-19,png,benchmark_plot,2236,1507,
reports/figures/project_overview_2026-03-19/routeA_phase2_cn_counts_by_culture.png,project_overview_2026-03-19,png,distribution_plot,1601,625,low_raster_resolution
reports/figures/project_overview_2026-03-19/routeA_phase2_cn_counts_by_source.png,project_overview_2026-03-19,png,distribution_plot,1601,625,low_raster_resolution
reports/figures/project_overview_2026-03-19/routeA_phase2_cn_culture_by_source.png,project_overview_2026-03-19,png,other,1772,915,
reports/figures/project_overview_2026-03-19/routeA_phase2_cn_culture_coverage_per_user.png,project_overview_2026-03-19,png,other,1456,805,
reports/figures/project_overview_2026-03-19/routeA_phase2_cn_embedding_pca.png,project_overview_2026-03-19,png,embedding_visualization,1510,1093,
reports/figures/project_overview_2026-03-19/routeA_phase2_cn_interaction_weight_hist.png,project_overview_2026-03-19,png,histogram,1457,805,
reports/figures/project_overview_2026-03-19/routeA_phase2_cn_interactions_per_user_hist.png,project_overview_2026-03-19,png,histogram,1456,805,
reports/figures/project_overview_2026-03-19/routeA_phase2_cn_top_labels.png,project_overview_2026-03-19,png,other,1601,1100,
reports/figures/project_overview_2026-03-19/v3_main_counts_by_culture.png,project_overview_2026-03-19,png,distribution_plot,1602,949,
reports/figures/project_overview_2026-03-19/v3_main_counts_by_source.png,project_overview_2026-03-19,png,distribution_plot,1601,798,low_raster_resolution
reports/figures/project_overview_2026-03-19/v3_main_culture_by_source.png,project_overview_2026-03-19,png,other,1773,916,
reports/figures/project_overview_2026-03-19/v3_main_culture_coverage_per_user.png,project_overview_2026-03-19,png,other,1457,805,
reports/figures/project_overview_2026-03-19/v3_main_culturemert_stage3_lambdamart_frontier.png,project_overview_2026-03-19,png,benchmark_plot,2182,854,
reports/figures/project_overview_2026-03-19/v3_main_culturemert_stage3_lambdamart_metric_grid.png,project_overview_2026-03-19,png,benchmark_plot,2236,1507,
reports/figures/project_overview_2026-03-19/v3_main_embedding_pca.png,project_overview_2026-03-19,png,embedding_visualization,1507,1093,
reports/figures/project_overview_2026-03-19/v3_main_interaction_weight_hist.png,project_overview_2026-03-19,png,histogram,1457,805,
reports/figures/project_overview_2026-03-19/v3_main_interactions_per_user_hist.png,project_overview_2026-03-19,png,histogram,1457,805,
reports/figures/project_overview_2026-03-19/v3_main_top_labels.png,project_overview_2026-03-19,png,other,1601,949,
reports/figures/project_overview_2026-03-19/yambda_5b_subset_counts_by_culture.png,project_overview_2026-03-19,png,distribution_plot,1598,625,low_raster_resolution
reports/figures/project_overview_2026-03-19/yambda_5b_subset_counts_by_source.png,project_overview_2026-03-19,png,distribution_plot,1599,625,low_raster_resolution
reports/figures/project_overview_2026-03-19/yambda_5b_subset_culture_by_source.png,project_overview_2026-03-19,png,other,1778,915,
reports/figures/project_overview_2026-03-19/yambda_5b_subset_culture_coverage_per_user.png,project_overview_2026-03-19,png,other,1456,805,
reports/figures/project_overview_2026-03-19/yambda_5b_subset_embedding_pca.png,project_overview_2026-03-19,png,embedding_visualization,1510,1093,
reports/figures/project_overview_2026-03-19/yambda_5b_subset_global_log_benchmark_metric_grid.png,project_overview_2026-03-19,png,benchmark_plot,2233,1454,
reports/figures/project_overview_2026-03-19/yambda_5b_subset_interaction_weight_hist.png,project_overview_2026-03-19,png,histogram,1457,805,
reports/figures/project_overview_2026-03-19/yambda_5b_subset_interactions_per_user_hist.png,project_overview_2026-03-19,png,histogram,1456,805,
reports/figures/project_overview_zh_2026-03-20/cross_suite_best_values.png,project_overview_zh_2026-03-20,png,other,1696,843,
reports/figures/project_overview_zh_2026-03-20/dataset_scale_overview.png,project_overview_zh_2026-03-20,png,distribution_plot,2448,818,
reports/figures/project_overview_zh_2026-03-20/evaluation_protocol_comparison.png,project_overview_zh_2026-03-20,png,other,2231,664,low_raster_resolution
reports/figures/project_overview_zh_2026-03-20/pal_constraint_flow_zh.png,project_overview_zh_2026-03-20,png,flow_diagram,1563,839,
reports/figures/project_overview_zh_2026-03-20/pal_round_metric_trajectory_zh.png,project_overview_zh_2026-03-20,png,other,1846,770,low_raster_resolution
reports/figures/project_overview_zh_2026-03-20/project_pipeline_overview.png,project_overview_zh_2026-03-20,png,flow_diagram,2340,736,low_raster_resolution
reports/figures/project_overview_zh_2026-03-20/public_routeA_phase2_cn_lambdamart_frontier.png,project_overview_zh_2026-03-20,png,benchmark_plot,2212,850,
reports/figures/project_overview_zh_2026-03-20/public_routeA_phase2_cn_lambdamart_metric_grid.png,project_overview_zh_2026-03-20,png,benchmark_plot,2292,1555,
reports/figures/project_overview_zh_2026-03-20/public_routeA_phase2_cn_lambdamart_rank_heatmap.png,project_overview_zh_2026-03-20,png,heatmap,1208,786,low_raster_resolution
reports/figures/project_overview_zh_2026-03-20/routeA_phase2_cn_counts_by_culture.png,project_overview_zh_2026-03-20,png,distribution_plot,1638,659,low_raster_resolution
reports/figures/project_overview_zh_2026-03-20/routeA_phase2_cn_counts_by_source.png,project_overview_zh_2026-03-20,png,distribution_plot,1641,659,low_raster_resolution
reports/figures/project_overview_zh_2026-03-20/routeA_phase2_cn_culture_by_source.png,project_overview_zh_2026-03-20,png,other,1847,971,
reports/figures/project_overview_zh_2026-03-20/routeA_phase2_cn_culture_coverage_per_user.png,project_overview_zh_2026-03-20,png,other,1491,839,
reports/figures/project_overview_zh_2026-03-20/routeA_phase2_cn_embedding_pca.png,project_overview_zh_2026-03-20,png,embedding_visualization,1564,1127,
reports/figures/project_overview_zh_2026-03-20/routeA_phase2_cn_interaction_counts_by_culture.png,project_overview_zh_2026-03-20,png,distribution_plot,1638,659,low_raster_resolution
reports/figures/project_overview_zh_2026-03-20/routeA_phase2_cn_interaction_weight_hist.png,project_overview_zh_2026-03-20,png,histogram,1491,839,
reports/figures/project_overview_zh_2026-03-20/routeA_phase2_cn_interactions_per_user_hist.png,project_overview_zh_2026-03-20,png,histogram,1491,839,
reports/figures/project_overview_zh_2026-03-20/routeA_phase2_cn_user_culture_heatmap_top40.png,project_overview_zh_2026-03-20,png,heatmap,1245,2064,
reports/figures/project_overview_zh_2026-03-20/v3_main_counts_by_culture.png,project_overview_zh_2026-03-20,png,distribution_plot,1639,965,
reports/figures/project_overview_zh_2026-03-20/v3_main_counts_by_source.png,project_overview_zh_2026-03-20,png,distribution_plot,1640,814,
reports/figures/project_overview_zh_2026-03-20/v3_main_culture_by_source.png,project_overview_zh_2026-03-20,png,other,1847,972,
reports/figures/project_overview_zh_2026-03-20/v3_main_culture_coverage_per_user.png,project_overview_zh_2026-03-20,png,other,1491,839,
reports/figures/project_overview_zh_2026-03-20/v3_main_culturemert_stage3_lambdamart_frontier.png,project_overview_zh_2026-03-20,png,benchmark_plot,2214,850,
reports/figures/project_overview_zh_2026-03-20/v3_main_culturemert_stage3_lambdamart_metric_grid.png,project_overview_zh_2026-03-20,png,benchmark_plot,2292,1555,
reports/figures/project_overview_zh_2026-03-20/v3_main_culturemert_stage3_lambdamart_rank_heatmap.png,project_overview_zh_2026-03-20,png,heatmap,1208,786,low_raster_resolution
reports/figures/project_overview_zh_2026-03-20/v3_main_duration_hist.png,project_overview_zh_2026-03-20,png,histogram,1491,839,
reports/figures/project_overview_zh_2026-03-20/v3_main_embedding_pca.png,project_overview_zh_2026-03-20,png,embedding_visualization,1561,1127,
reports/figures/project_overview_zh_2026-03-20/v3_main_interaction_counts_by_culture.png,project_overview_zh_2026-03-20,png,distribution_plot,1639,965,
reports/figures/project_overview_zh_2026-03-20/v3_main_interaction_weight_hist.png,project_overview_zh_2026-03-20,png,histogram,1491,839,
reports/figures/project_overview_zh_2026-03-20/v3_main_interactions_per_user_hist.png,project_overview_zh_2026-03-20,png,histogram,1491,839,
reports/figures/project_overview_zh_2026-03-20/v3_main_user_culture_heatmap_top40.png,project_overview_zh_2026-03-20,png,heatmap,1329,2065,
reports/figures/project_overview_zh_2026-03-20/yambda_5b_subset_counts_by_culture.png,project_overview_zh_2026-03-20,png,distribution_plot,1636,659,low_raster_resolution
reports/figures/project_overview_zh_2026-03-20/yambda_5b_subset_counts_by_source.png,project_overview_zh_2026-03-20,png,distribution_plot,1637,659,low_raster_resolution
reports/figures/project_overview_zh_2026-03-20/yambda_5b_subset_culture_by_source.png,project_overview_zh_2026-03-20,png,other,1851,972,
reports/figures/project_overview_zh_2026-03-20/yambda_5b_subset_culture_coverage_per_user.png,project_overview_zh_2026-03-20,png,other,1491,839,
reports/figures/project_overview_zh_2026-03-20/yambda_5b_subset_embedding_pca.png,project_overview_zh_2026-03-20,png,embedding_visualization,1565,1127,
reports/figures/project_overview_zh_2026-03-20/yambda_5b_subset_global_log_benchmark_coverage_vs_recall.png,project_overview_zh_2026-03-20,png,benchmark_plot,1453,911,
reports/figures/project_overview_zh_2026-03-20/yambda_5b_subset_global_log_benchmark_metric_grid.png,project_overview_zh_2026-03-20,png,benchmark_plot,2252,1485,
reports/figures/project_overview_zh_2026-03-20/yambda_5b_subset_interaction_counts_by_culture.png,project_overview_zh_2026-03-20,png,distribution_plot,1639,659,low_raster_resolution
reports/figures/project_overview_zh_2026-03-20/yambda_5b_subset_interaction_weight_hist.png,project_overview_zh_2026-03-20,png,histogram,1491,839,
reports/figures/project_overview_zh_2026-03-20/yambda_5b_subset_interactions_per_user_hist.png,project_overview_zh_2026-03-20,png,histogram,1491,839,
reports/figures/project_overview_zh_2026-03-20/yambda_5b_subset_organic_flag_counts.png,project_overview_zh_2026-03-20,png,distribution_plot,1639,659,low_raster_resolution
reports/figures/project_overview_zh_2026-03-20/yambda_5b_subset_played_ratio_hist.png,project_overview_zh_2026-03-20,png,histogram,1491,839,
reports/figures/project_overview_zh_2026-03-20/yambda_5b_subset_track_length_seconds_hist.png,project_overview_zh_2026-03-20,png,histogram,1491,839,
reports/figures/project_overview_zh_2026-03-20/yambda_5b_subset_user_culture_heatmap_top40.png,project_overview_zh_2026-03-20,png,heatmap,1203,2064,
reports/figures/project_overview_zh_2026-03-20/yambda_recall20_focus.png,project_overview_zh_2026-03-20,png,other,1568,839,
