title,artist,raw_country,raw_culture,label,review_reason,platform_track_url
Twinkle Twinkle Little Star (Grand Piano Version),Twinkle Twinkle Little Star,HK,china,兒童音樂,China-family iTunes storefront only; no strong artist or metadata evidence,https://music.apple.com/hk/album/twinkle-twinkle-little-star-grand-piano-version/1152947582?i=1152947818&uo=4
CRAZY NIGHT,"Phillipa Alexander, Ellie Wyatt, Jussi Nikula & Jorge Mhondera",TW,china,電子音樂,China-family iTunes storefront only; no strong artist or metadata evidence,https://music.apple.com/tw/album/crazy-night/1713644919?i=1713645400&uo=4
Always Remember Us This Way (Instrumental Originally Performed by Lady Gaga),Covered Up,TW,china,卡拉 OK,China-family iTunes storefront only; no strong artist or metadata evidence,https://music.apple.com/tw/album/always-remember-us-this-way-instrumental-originally/1457235528?i=1457235529&uo=4
How You Like That (instrumental) orginally performed by Blackpink,Best Chart Hits,TW,china,流行樂,China-family iTunes storefront only; no strong artist or metadata evidence,https://music.apple.com/tw/album/how-you-like-that-instrumental-orginally-performed/1543572963?i=1543573276&uo=4
All of Me (Acoustic Piano Version),鋼琴的人,TW,china,流行樂,China-family iTunes storefront only; no strong artist or metadata evidence,https://music.apple.com/tw/album/all-of-me-acoustic-piano-version/854348760?i=854348795&uo=4
Abc Song,Muffin Songs,HK,china,兒童音樂,China-family iTunes storefront only; no strong artist or metadata evidence,https://music.apple.com/hk/album/abc-song/1050774895?i=1050775362&uo=4
The Truest Feeling of Mine (feat. TEOCHEW),EVORA GLOBAL,HK,china,鄉村音樂,China-family iTunes storefront only; no strong artist or metadata evidence,https://music.apple.com/hk/album/the-truest-feeling-of-mine-feat-teochew/1893516356?i=6762241287&uo=4
The day after the rain,Nolar,HK,china,Hip-Hop/Rap,China-family iTunes storefront only; no strong artist or metadata evidence,https://music.apple.com/hk/album/the-day-after-the-rain/1784568481?i=1784568482&uo=4
Hakka,Final Request,CN,china,House 作品,China-family iTunes storefront only; no strong artist or metadata evidence,https://music.apple.com/cn/album/hakka/1698081780?i=1698082301&uo=4
Always Tied,"Gavis Bettel, Machina X Flayon, Banzoin Hakka & Josuiji Shinri",CN,china,国际流行,China-family iTunes storefront only; no strong artist or metadata evidence,https://music.apple.com/cn/album/always-tied/1663201290?i=1663201807&uo=4
Park 97,JOMO,CN,china,国际流行,China-family iTunes storefront only; no strong artist or metadata evidence,https://music.apple.com/cn/album/park-97/1655097274?i=1655097276&uo=4
White Lace,Arctic Wave,CN,china,国际流行,China-family iTunes storefront only; no strong artist or metadata evidence,https://music.apple.com/cn/album/white-lace/1784212490?i=1784212491&uo=4
Park 97,JOMO,CN,china,Electronica,China-family iTunes storefront only; no strong artist or metadata evidence,https://music.apple.com/cn/album/park-97/1788208380?i=1788208381&uo=4
