round,culture,uncertainty
round1,turkey,2.0775136947631836
round1,china,2.0775108337402344
round1,turkey,2.0775084495544434
round1,turkey,2.077503204345703
round1,china,2.077502727508545
round1,china,2.0775022506713867
round1,china,2.077500581741333
round1,china,2.0774986743927
round1,china,2.077498435974121
round1,china,2.0774972438812256
round1,turkey,2.077495574951172
round1,turkey,2.0774943828582764
round1,china,2.0774943828582764
round1,turkey,2.077493190765381
round1,china,2.0774927139282227
round1,china,2.0774917602539062
round1,turkey,2.077491521835327
round1,china,2.077491283416748
round1,china,2.077491044998169
round1,china,2.077491044998169
round1,india,2.0774905681610107
round1,china,2.0774898529052734
round1,china,2.0774896144866943
round1,china,2.077489137649536
round1,china,2.077488660812378
round1,turkey,2.0774879455566406
round1,china,2.0774853229522705
round1,china,2.077484607696533
round1,china,2.077483654022217
round1,china,2.077483654022217
round1,turkey,2.0774829387664795
round1,china,2.0774827003479004
round1,china,2.0774827003479004
round1,china,2.0774827003479004
round1,china,2.077481746673584
round1,china,2.077481746673584
round1,china,2.0774810314178467
round1,china,2.0774807929992676
round1,china,2.0774807929992676
round1,china,2.0774807929992676
round1,china,2.0774807929992676
round1,turkey,2.0774803161621094
round1,china,2.0774800777435303
round1,china,2.077479839324951
round1,india,2.077479839324951
round1,china,2.0774788856506348
round1,turkey,2.0774784088134766
round1,india,2.0774784088134766
round1,china,2.0774781703948975
round1,china,2.0774779319763184
round1,china,2.0774779319763184
round1,china,2.0774776935577393
round1,china,2.07747745513916
round1,turkey,2.077477216720581
round1,china,2.077477216720581
round1,china,2.077476739883423
round1,china,2.077476739883423
round1,china,2.0774765014648438
round1,china,2.0774765014648438
round1,turkey,2.0774762630462646
round1,china,2.0774760246276855
round1,china,2.077475070953369
round1,turkey,2.07747483253479
round1,china,2.0774741172790527
round1,china,2.0774741172790527
round1,turkey,2.0774738788604736
round1,turkey,2.0774736404418945
round1,turkey,2.0774736404418945
round1,china,2.077472686767578
round1,china,2.077472448348999
round1,china,2.07747220993042
round1,turkey,2.077471971511841
round1,turkey,2.0774717330932617
round1,china,2.0774714946746826
round1,china,2.0774714946746826
round1,turkey,2.0774712562561035
round1,china,2.0774707794189453
round1,india,2.077470541000366
round1,china,2.077470302581787
round1,turkey,2.077470064163208
round1,china,2.0774693489074707
round1,turkey,2.0774691104888916
round1,turkey,2.0774691104888916
round1,china,2.0774688720703125
round1,china,2.0774686336517334
round1,china,2.0774683952331543
round1,china,2.077468156814575
round1,china,2.077468156814575
round1,china,2.077467918395996
round1,china,2.077467918395996
round1,india,2.077467918395996
round1,china,2.077467441558838
round1,china,2.077467203140259
round1,china,2.0774667263031006
round1,turkey,2.0774664878845215
round1,turkey,2.0774664878845215
round1,china,2.0774664878845215
round1,china,2.0774664878845215
round1,china,2.0774660110473633
round1,china,2.077465772628784
round1,turkey,2.077465534210205
round1,china,2.077465295791626
round1,china,2.077465057373047
round1,china,2.077465057373047
round1,turkey,2.0774648189544678
round1,china,2.0774648189544678
round1,china,2.0774643421173096
round1,india,2.0774643421173096
round1,china,2.0774641036987305
round1,china,2.0774641036987305
round1,india,2.0774641036987305
round1,china,2.0774638652801514
round1,turkey,2.0774636268615723
round1,china,2.077463388442993
round1,china,2.077463150024414
round1,india,2.077463150024414
round1,turkey,2.0774624347686768
round1,turkey,2.0774621963500977
round1,turkey,2.0774621963500977
round1,turkey,2.0774621963500977
round2,china,2.076845645904541
round2,china,2.0767486095428467
round2,china,2.0767483711242676
round2,china,2.0767369270324707
round2,china,2.076716184616089
round2,china,2.0767128467559814
round2,india,2.076691150665283
round2,china,2.076685905456543
round2,china,2.0766820907592773
round2,china,2.076679229736328
round2,china,2.076678514480591
round2,china,2.0766754150390625
round2,china,2.0766687393188477
round2,china,2.0766663551330566
round2,china,2.0766661167144775
round2,china,2.0766654014587402
round2,west,2.0766611099243164
round2,china,2.076660633087158
round2,china,2.076660633087158
round2,china,2.0766587257385254
round2,turkey,2.076651096343994
round2,china,2.0766468048095703
round2,china,2.076646566390991
round2,turkey,2.076643466949463
round2,china,2.076641321182251
round2,turkey,2.0766408443450928
round2,china,2.07663893699646
round2,china,2.0766334533691406
round2,china,2.0766327381134033
round2,china,2.076631546020508
