Method,Serendipity,Calibration_KL,Minority_at_k
Popularity,0.7576204119251421,2.3290537029780793,0.0
Cosine,0.8517191970423068,2.33339189021999,0.23047916666666668
KNN,0.8542488298438041,2.33376265270097,0.2245625
LightFM,0.7666224697037811,2.333701007743259,0.1161875
BPR-MF,0.774737807409225,2.3214217623454405,0.16452083333333334
BPR-2Stage,0.7870007949647758,2.31963847945123,0.30254166666666665
BPR-Listwise,0.7922040534858312,2.3178517884028853,0.2868125
BPR-LM,0.7883640357313463,2.318281190470735,0.274625
DCAS-OT,0.8542503418559114,2.32504313200185,0.19597916666666668
DCAS-Cal,0.824492556321999,2.310405659135604,0.37597916666666664
DCAS-Min,0.8208598428254904,2.3129104862101895,0.4799583333333333
