method,serendipity_mean,cultural_calibration_kl_mean,minority_exposure_at_k_mean
Popularity,0.3865871045207907,1.1207042193855876,0.0
Cosine,0.4303718806716986,1.1607639461482033,0.212109375
KNN,0.44518172144596485,1.1741739531556707,0.24244791666666668
LightFM,0.38464013116056195,1.1485513080576648,0.11940104166666667
BPR-MF,0.48109339979331833,1.129262157435279,0.087890625
BPR-2Stage,0.50024520111353,1.126419236598676,0.17877604166666666
BPR-Listwise,0.5041031100018676,1.1199350046697276,0.1921875
BPR-LM,0.5017876630094839,1.1136285667018833,0.15729166666666666
DCAS-OT,0.8501348012966086,1.1439147723393892,0.302734375
DCAS-Cal,0.8406298893109097,1.0212990236108153,0.5095052083333333
DCAS-Min,0.8370797698636433,1.0747450573727704,0.6798177083333333
