sweep,method,minority@k,惊喜度
V4 Main + CultureMERT,DCAS (OT),0.24602083333333333,0.8578608207929557
V4 Main + CultureMERT,P1 (偏目标),0.34791666666666665,0.8370891095765308
V4 Main + CultureMERT,P2 (目标),0.4023333333333333,0.8315641066075367
V4 Main + CultureMERT,P3 (均衡),0.4525416666666667,0.8298564343453996
V4 Main + CultureMERT,P4 (少数),0.5302708333333334,0.8281576284503037
V4 Main + CultureMERT,P5 (超少数),0.5837916666666667,0.8296226630669543
V4 Small + CultureMERT,DCAS (OT),0.302734375,0.8501348012966086
V4 Small + CultureMERT,P1 (偏目标),0.4373697916666667,0.8377972827543051
V4 Small + CultureMERT,P2 (目标),0.5095052083333333,0.8406298893109097
V4 Small + CultureMERT,P3 (均衡),0.5794270833333334,0.8384035804985168
V4 Small + CultureMERT,P4 (少数),0.6798177083333333,0.8370797698636433
V4 Small + CultureMERT,P5 (超少数),0.7528645833333333,0.83845432359516
V4 Small + Gemini,DCAS (OT),0.24231770833333333,0.8605679910019578
V4 Small + Gemini,P1 (偏目标),0.4359375,0.8667287657046964
V4 Small + Gemini,P2 (目标),0.49973958333333335,0.8641977005570803
V4 Small + Gemini,P3 (均衡),0.5686197916666667,0.8619872644535952
V4 Small + Gemini,P4 (少数),0.6528645833333333,0.8585719854067286
V4 Small + Gemini,P5 (超少数),0.7084635416666667,0.8566134366839715
