基准,方法,校准KL
V4 CM,热门度,2.1734106387855205
V4 CM,BPR-LM,2.0965806578046946
V4 CM,DCAS-OT,2.082580737495161
V4 CM,DCAS-目标校准,2.029637808269883
V4 CM,DCAS-少数导向,2.0477411034604738
V4 GM,热门度,2.3290537029780793
V4 GM,BPR-LM,2.318281190470735
V4 GM,DCAS-OT,2.32504313200185
V4 GM,DCAS-目标校准,2.310405659135604
V4 GM,DCAS-少数导向,2.3129104862101895
RA CM,热门度,1.1207042193855876
RA CM,BPR-LM,1.1136285667018833
RA CM,DCAS-OT,1.1439147723393892
RA CM,DCAS-目标校准,1.0212990236108153
RA CM,DCAS-少数导向,1.0747450573727704
RA GM,热门度,1.5805226461543351
RA GM,BPR-LM,1.567630324131713
RA GM,DCAS-OT,1.5723317814597921
RA GM,DCAS-目标校准,1.5501961971476819
RA GM,DCAS-少数导向,1.557353426480434
