基准,方法,少数曝光率
V4 CM,热门度,0.0
V4 CM,BPR-LM,0.26808333333333334
V4 CM,DCAS-OT,0.24602083333333333
V4 CM,DCAS-目标校准,0.4023333333333333
V4 CM,DCAS-少数导向,0.5302708333333334
V4 GM,热门度,0.0
V4 GM,BPR-LM,0.274625
V4 GM,DCAS-OT,0.19597916666666668
V4 GM,DCAS-目标校准,0.37597916666666664
V4 GM,DCAS-少数导向,0.4799583333333333
RA CM,热门度,0.0
RA CM,BPR-LM,0.15729166666666666
RA CM,DCAS-OT,0.302734375
RA CM,DCAS-目标校准,0.5095052083333333
RA CM,DCAS-少数导向,0.6798177083333333
RA GM,热门度,0.0
RA GM,BPR-LM,0.15130208333333334
RA GM,DCAS-OT,0.24231770833333333
RA GM,DCAS-目标校准,0.49973958333333335
RA GM,DCAS-少数导向,0.6528645833333333
