基准,方法,惊喜度
V4 CM,热门度,0.5014640336756042
V4 CM,BPR-LM,0.5558271027724089
V4 CM,DCAS-OT,0.8578608207929557
V4 CM,DCAS-目标校准,0.8315641066075367
V4 CM,DCAS-少数导向,0.8281576284503037
V4 GM,热门度,0.7576204119251421
V4 GM,BPR-LM,0.7883640357313463
V4 GM,DCAS-OT,0.8542503418559114
V4 GM,DCAS-目标校准,0.824492556321999
V4 GM,DCAS-少数导向,0.8208598428254904
RA CM,热门度,0.3865871045207907
RA CM,BPR-LM,0.5017876630094839
RA CM,DCAS-OT,0.8501348012966086
RA CM,DCAS-目标校准,0.8406298893109097
RA CM,DCAS-少数导向,0.8370797698636433
RA GM,热门度,0.6603375737081894
RA GM,BPR-LM,0.7266650412215804
RA GM,DCAS-OT,0.8605679910019578
RA GM,DCAS-目标校准,0.8641977005570803
RA GM,DCAS-少数导向,0.8585719854067286
