文化,惊喜度,文化校准KL,少数群体曝光率@k
中国,0.8781928707220636,2.375903300543618,0.3266666666666667
法国,0.9063784475860852,2.3760509057314567,0.3954166666666667
德国,0.8356327752931599,2.376014130862418,0.32
英国,0.8687729646509356,2.376092198614765,0.6429166666666666
印度,0.8936501391004055,2.375972749292695,0.5191666666666667
印尼,0.8348950678197552,2.3758920385989653,0.48458333333333337
意大利,0.8169209022894113,2.3760432016901905,0.3104166666666667
现代英语流行,0.9184858550781986,2.375799419635837,0.48625000000000007
俄罗斯,0.837339230810638,2.3758762263851825,0.4170833333333334
土耳其,0.8911108931830856,2.375875083055496,0.8562500000000001
