method,serendipity_mean,cultural_calibration_kl_mean,minority_exposure_at_k_mean
popularity,0.5668424544518244,0.9961225997918325,0.0
cosine,0.6338521311695715,1.0880140954099702,0.25046875
knn,0.6683533522653223,1.1443106369272866,0.23421875
bpr_mf,0.6115913421136542,1.0096088019829375,0.13640625
bpr_two_stage_hybrid,0.622260469253907,1.0711666486061904,0.209375
bpr_listwise_hybrid,0.6371169574369406,1.0653539886685444,0.21859375
bpr_lambdamart_hybrid,0.6299612465300496,1.001696887373105,0.2546875
dcas_full_ot,0.765338320270804,1.2383578342090136,0.26609375
dcas_full_ot_calibrated_target,0.7428681342054613,1.04985783825741,0.3740625
dcas_full_ot_calibrated_minor,0.7372331250860109,1.1020353818551587,0.4634375
