method,serendipity_mean,cultural_calibration_kl_mean,minority_exposure_at_k_mean
popularity,0.7576204119251421,2.3290537029780793,0.0
cosine,0.8517191970423068,2.33339189021999,0.23047916666666668
knn,0.8542488298438041,2.33376265270097,0.2245625
lightfm_like,0.7666224697037811,2.333701007743259,0.1161875
bpr_mf,0.774737807409225,2.3214217623454405,0.16452083333333334
bpr_two_stage_hybrid,0.7870007949647758,2.31963847945123,0.30254166666666665
bpr_listwise_hybrid,0.7922040534858312,2.3178517884028853,0.2868125
bpr_lambdamart_hybrid,0.7883640357313463,2.318281190470735,0.274625
dcas_full_ot,0.8542503418559114,2.32504313200185,0.19597916666666668
dcas_full_ot_calibrated_target,0.824492556321999,2.310405659135604,0.37597916666666664
dcas_full_ot_calibrated_minor,0.8208598428254904,2.3129104862101895,0.4799583333333333
