track_id,culture,split
bilal63_turkish_music_emotion_dataset_00000000,turkey,train
bilal63_turkish_music_emotion_dataset_00000001,turkey,train
bilal63_turkish_music_emotion_dataset_00000002,turkey,train
bilal63_turkish_music_emotion_dataset_00000003,turkey,train
bilal63_turkish_music_emotion_dataset_00000004,turkey,train
bilal63_turkish_music_emotion_dataset_00000005,turkey,train
bilal63_turkish_music_emotion_dataset_00000007,turkey,train
bilal63_turkish_music_emotion_dataset_00000009,turkey,train
bilal63_turkish_music_emotion_dataset_00000010,turkey,train
bilal63_turkish_music_emotion_dataset_00000011,turkey,train
bilal63_turkish_music_emotion_dataset_00000012,turkey,train
bilal63_turkish_music_emotion_dataset_00000015,turkey,train
bilal63_turkish_music_emotion_dataset_00000016,turkey,train
bilal63_turkish_music_emotion_dataset_00000018,turkey,train
bilal63_turkish_music_emotion_dataset_00000019,turkey,train
bilal63_turkish_music_emotion_dataset_00000020,turkey,train
bilal63_turkish_music_emotion_dataset_00000022,turkey,train
bilal63_turkish_music_emotion_dataset_00000024,turkey,train
bilal63_turkish_music_emotion_dataset_00000025,turkey,train
bilal63_turkish_music_emotion_dataset_00000026,turkey,train
bilal63_turkish_music_emotion_dataset_00000027,turkey,train
bilal63_turkish_music_emotion_dataset_00000029,turkey,train
bilal63_turkish_music_emotion_dataset_00000030,turkey,train
bilal63_turkish_music_emotion_dataset_00000031,turkey,train
bilal63_turkish_music_emotion_dataset_00000032,turkey,train
bilal63_turkish_music_emotion_dataset_00000033,turkey,train
bilal63_turkish_music_emotion_dataset_00000034,turkey,train
bilal63_turkish_music_emotion_dataset_00000035,turkey,train
bilal63_turkish_music_emotion_dataset_00000036,turkey,train
bilal63_turkish_music_emotion_dataset_00000037,turkey,train
bilal63_turkish_music_emotion_dataset_00000039,turkey,train
bilal63_turkish_music_emotion_dataset_00000040,turkey,train
bilal63_turkish_music_emotion_dataset_00000041,turkey,train
bilal63_turkish_music_emotion_dataset_00000042,turkey,train
bilal63_turkish_music_emotion_dataset_00000043,turkey,train
bilal63_turkish_music_emotion_dataset_00000044,turkey,train
bilal63_turkish_music_emotion_dataset_00000045,turkey,train
bilal63_turkish_music_emotion_dataset_00000046,turkey,train
bilal63_turkish_music_emotion_dataset_00000047,turkey,train
bilal63_turkish_music_emotion_dataset_00000048,turkey,train
bilal63_turkish_music_emotion_dataset_00000049,turkey,train
bilal63_turkish_music_emotion_dataset_00000050,turkey,train
bilal63_turkish_music_emotion_dataset_00000051,turkey,train
bilal63_turkish_music_emotion_dataset_00000052,turkey,train
bilal63_turkish_music_emotion_dataset_00000053,turkey,train
bilal63_turkish_music_emotion_dataset_00000055,turkey,train
bilal63_turkish_music_emotion_dataset_00000056,turkey,train
bilal63_turkish_music_emotion_dataset_00000058,turkey,train
bilal63_turkish_music_emotion_dataset_00000059,turkey,train
bilal63_turkish_music_emotion_dataset_00000060,turkey,train
bilal63_turkish_music_emotion_dataset_00000061,turkey,train
bilal63_turkish_music_emotion_dataset_00000062,turkey,train
