track_id,culture,split
bilal63_turkish_music_emotion_dataset_00000000,turkey,train
bilal63_turkish_music_emotion_dataset_00000002,turkey,train
bilal63_turkish_music_emotion_dataset_00000003,turkey,train
bilal63_turkish_music_emotion_dataset_00000004,turkey,train
bilal63_turkish_music_emotion_dataset_00000005,turkey,train
bilal63_turkish_music_emotion_dataset_00000006,turkey,train
bilal63_turkish_music_emotion_dataset_00000008,turkey,train
bilal63_turkish_music_emotion_dataset_00000009,turkey,train
bilal63_turkish_music_emotion_dataset_00000010,turkey,train
bilal63_turkish_music_emotion_dataset_00000011,turkey,train
bilal63_turkish_music_emotion_dataset_00000012,turkey,train
bilal63_turkish_music_emotion_dataset_00000015,turkey,train
bilal63_turkish_music_emotion_dataset_00000016,turkey,train
bilal63_turkish_music_emotion_dataset_00000017,turkey,train
bilal63_turkish_music_emotion_dataset_00000018,turkey,train
bilal63_turkish_music_emotion_dataset_00000019,turkey,train
bilal63_turkish_music_emotion_dataset_00000021,turkey,train
bilal63_turkish_music_emotion_dataset_00000022,turkey,train
bilal63_turkish_music_emotion_dataset_00000024,turkey,train
bilal63_turkish_music_emotion_dataset_00000025,turkey,train
bilal63_turkish_music_emotion_dataset_00000026,turkey,train
bilal63_turkish_music_emotion_dataset_00000027,turkey,train
bilal63_turkish_music_emotion_dataset_00000028,turkey,train
bilal63_turkish_music_emotion_dataset_00000029,turkey,train
bilal63_turkish_music_emotion_dataset_00000030,turkey,train
bilal63_turkish_music_emotion_dataset_00000033,turkey,train
bilal63_turkish_music_emotion_dataset_00000034,turkey,train
bilal63_turkish_music_emotion_dataset_00000035,turkey,train
bilal63_turkish_music_emotion_dataset_00000036,turkey,train
bilal63_turkish_music_emotion_dataset_00000038,turkey,train
bilal63_turkish_music_emotion_dataset_00000039,turkey,train
bilal63_turkish_music_emotion_dataset_00000040,turkey,train
bilal63_turkish_music_emotion_dataset_00000041,turkey,train
bilal63_turkish_music_emotion_dataset_00000042,turkey,train
bilal63_turkish_music_emotion_dataset_00000044,turkey,train
bilal63_turkish_music_emotion_dataset_00000045,turkey,train
bilal63_turkish_music_emotion_dataset_00000046,turkey,train
bilal63_turkish_music_emotion_dataset_00000047,turkey,train
bilal63_turkish_music_emotion_dataset_00000048,turkey,train
bilal63_turkish_music_emotion_dataset_00000049,turkey,train
bilal63_turkish_music_emotion_dataset_00000050,turkey,train
bilal63_turkish_music_emotion_dataset_00000051,turkey,train
bilal63_turkish_music_emotion_dataset_00000052,turkey,train
bilal63_turkish_music_emotion_dataset_00000053,turkey,train
bilal63_turkish_music_emotion_dataset_00000055,turkey,train
bilal63_turkish_music_emotion_dataset_00000056,turkey,train
bilal63_turkish_music_emotion_dataset_00000057,turkey,train
bilal63_turkish_music_emotion_dataset_00000058,turkey,train
bilal63_turkish_music_emotion_dataset_00000059,turkey,train
bilal63_turkish_music_emotion_dataset_00000061,turkey,train
bilal63_turkish_music_emotion_dataset_00000064,turkey,train
bilal63_turkish_music_emotion_dataset_00000065,turkey,train
bilal63_turkish_music_emotion_dataset_00000067,turkey,train
bilal63_turkish_music_emotion_dataset_00000068,turkey,train
bilal63_turkish_music_emotion_dataset_00000069,turkey,train
bilal63_turkish_music_emotion_dataset_00000070,turkey,train
bilal63_turkish_music_emotion_dataset_00000071,turkey,train
bilal63_turkish_music_emotion_dataset_00000072,turkey,train
bilal63_turkish_music_emotion_dataset_00000073,turkey,train
bilal63_turkish_music_emotion_dataset_00000074,turkey,train
bilal63_turkish_music_emotion_dataset_00000075,turkey,train
bilal63_turkish_music_emotion_dataset_00000077,turkey,train
bilal63_turkish_music_emotion_dataset_00000079,turkey,train
bilal63_turkish_music_emotion_dataset_00000080,turkey,train
bilal63_turkish_music_emotion_dataset_00000082,turkey,train
bilal63_turkish_music_emotion_dataset_00000083,turkey,train
bilal63_turkish_music_emotion_dataset_00000084,turkey,train
bilal63_turkish_music_emotion_dataset_00000086,turkey,train
bilal63_turkish_music_emotion_dataset_00000087,turkey,train
bilal63_turkish_music_emotion_dataset_00000089,turkey,train
bilal63_turkish_music_emotion_dataset_00000090,turkey,train
bilal63_turkish_music_emotion_dataset_00000094,turkey,train
bilal63_turkish_music_emotion_dataset_00000096,turkey,train
bilal63_turkish_music_emotion_dataset_00000097,turkey,train
bilal63_turkish_music_emotion_dataset_00000098,turkey,train
bilal63_turkish_music_emotion_dataset_00000099,turkey,train
bilal63_turkish_music_emotion_dataset_00000100,turkey,train
bilal63_turkish_music_emotion_dataset_00000101,turkey,train
bilal63_turkish_music_emotion_dataset_00000102,turkey,train
bilal63_turkish_music_emotion_dataset_00000103,turkey,train
bilal63_turkish_music_emotion_dataset_00000104,turkey,train
bilal63_turkish_music_emotion_dataset_00000105,turkey,train
bilal63_turkish_music_emotion_dataset_00000106,turkey,train
bilal63_turkish_music_emotion_dataset_00000107,turkey,train
bilal63_turkish_music_emotion_dataset_00000108,turkey,train
bilal63_turkish_music_emotion_dataset_00000109,turkey,train
bilal63_turkish_music_emotion_dataset_00000110,turkey,train
bilal63_turkish_music_emotion_dataset_00000111,turkey,train
bilal63_turkish_music_emotion_dataset_00000112,turkey,train
bilal63_turkish_music_emotion_dataset_00000113,turkey,train
bilal63_turkish_music_emotion_dataset_00000114,turkey,train
bilal63_turkish_music_emotion_dataset_00000115,turkey,train
bilal63_turkish_music_emotion_dataset_00000116,turkey,train
bilal63_turkish_music_emotion_dataset_00000117,turkey,train
bilal63_turkish_music_emotion_dataset_00000118,turkey,train
bilal63_turkish_music_emotion_dataset_00000119,turkey,train
bilal63_turkish_music_emotion_dataset_00000121,turkey,train
bilal63_turkish_music_emotion_dataset_00000122,turkey,train
bilal63_turkish_music_emotion_dataset_00000123,turkey,train
bilal63_turkish_music_emotion_dataset_00000124,turkey,train
bilal63_turkish_music_emotion_dataset_00000125,turkey,train
bilal63_turkish_music_emotion_dataset_00000126,turkey,train
bilal63_turkish_music_emotion_dataset_00000127,turkey,train
bilal63_turkish_music_emotion_dataset_00000128,turkey,train
bilal63_turkish_music_emotion_dataset_00000129,turkey,train
bilal63_turkish_music_emotion_dataset_00000130,turkey,train
bilal63_turkish_music_emotion_dataset_00000131,turkey,train
bilal63_turkish_music_emotion_dataset_00000132,turkey,train
bilal63_turkish_music_emotion_dataset_00000133,turkey,train
bilal63_turkish_music_emotion_dataset_00000134,turkey,train
bilal63_turkish_music_emotion_dataset_00000135,turkey,train
bilal63_turkish_music_emotion_dataset_00000137,turkey,train
bilal63_turkish_music_emotion_dataset_00000138,turkey,train
bilal63_turkish_music_emotion_dataset_00000139,turkey,train
bilal63_turkish_music_emotion_dataset_00000140,turkey,train
bilal63_turkish_music_emotion_dataset_00000141,turkey,train
bilal63_turkish_music_emotion_dataset_00000142,turkey,train
bilal63_turkish_music_emotion_dataset_00000144,turkey,train
bilal63_turkish_music_emotion_dataset_00000146,turkey,train
bilal63_turkish_music_emotion_dataset_00000147,turkey,train
bilal63_turkish_music_emotion_dataset_00000148,turkey,train
bilal63_turkish_music_emotion_dataset_00000149,turkey,train
bilal63_turkish_music_emotion_dataset_00000152,turkey,train
bilal63_turkish_music_emotion_dataset_00000153,turkey,train
bilal63_turkish_music_emotion_dataset_00000154,turkey,train
bilal63_turkish_music_emotion_dataset_00000155,turkey,train
bilal63_turkish_music_emotion_dataset_00000156,turkey,train
bilal63_turkish_music_emotion_dataset_00000159,turkey,train
neerajaabhyankar_hindustani-raag-small_00000000,india,train
neerajaabhyankar_hindustani-raag-small_00000001,india,train
neerajaabhyankar_hindustani-raag-small_00000002,india,train
neerajaabhyankar_hindustani-raag-small_00000003,india,train
neerajaabhyankar_hindustani-raag-small_00000004,india,train
neerajaabhyankar_hindustani-raag-small_00000005,india,train
neerajaabhyankar_hindustani-raag-small_00000007,india,train
neerajaabhyankar_hindustani-raag-small_00000008,india,train
neerajaabhyankar_hindustani-raag-small_00000009,india,train
neerajaabhyankar_hindustani-raag-small_00000010,india,train
neerajaabhyankar_hindustani-raag-small_00000011,india,train
neerajaabhyankar_hindustani-raag-small_00000012,india,train
neerajaabhyankar_hindustani-raag-small_00000013,india,train
neerajaabhyankar_hindustani-raag-small_00000017,india,train
neerajaabhyankar_hindustani-raag-small_00000018,india,train
neerajaabhyankar_hindustani-raag-small_00000020,india,train
neerajaabhyankar_hindustani-raag-small_00000021,india,train
neerajaabhyankar_hindustani-raag-small_00000024,india,train
neerajaabhyankar_hindustani-raag-small_00000025,india,train
neerajaabhyankar_hindustani-raag-small_00000026,india,train
neerajaabhyankar_hindustani-raag-small_00000027,india,train
neerajaabhyankar_hindustani-raag-small_00000028,india,train
neerajaabhyankar_hindustani-raag-small_00000029,india,train
neerajaabhyankar_hindustani-raag-small_00000032,india,train
neerajaabhyankar_hindustani-raag-small_00000033,india,train
neerajaabhyankar_hindustani-raag-small_00000037,india,train
neerajaabhyankar_hindustani-raag-small_00000038,india,train
neerajaabhyankar_hindustani-raag-small_00000039,india,train
neerajaabhyankar_hindustani-raag-small_00000040,india,train
neerajaabhyankar_hindustani-raag-small_00000042,india,train
neerajaabhyankar_hindustani-raag-small_00000043,india,train
neerajaabhyankar_hindustani-raag-small_00000045,india,train
neerajaabhyankar_hindustani-raag-small_00000046,india,train
neerajaabhyankar_hindustani-raag-small_00000048,india,train
neerajaabhyankar_hindustani-raag-small_00000050,india,train
neerajaabhyankar_hindustani-raag-small_00000051,india,train
neerajaabhyankar_hindustani-raag-small_00000052,india,train
neerajaabhyankar_hindustani-raag-small_00000053,india,train
neerajaabhyankar_hindustani-raag-small_00000054,india,train
neerajaabhyankar_hindustani-raag-small_00000055,india,train
neerajaabhyankar_hindustani-raag-small_00000056,india,train
neerajaabhyankar_hindustani-raag-small_00000057,india,train
neerajaabhyankar_hindustani-raag-small_00000059,india,train
neerajaabhyankar_hindustani-raag-small_00000061,india,train
neerajaabhyankar_hindustani-raag-small_00000062,india,train
neerajaabhyankar_hindustani-raag-small_00000063,india,train
neerajaabhyankar_hindustani-raag-small_00000065,india,train
neerajaabhyankar_hindustani-raag-small_00000066,india,train
neerajaabhyankar_hindustani-raag-small_00000067,india,train
neerajaabhyankar_hindustani-raag-small_00000068,india,train
neerajaabhyankar_hindustani-raag-small_00000069,india,train
neerajaabhyankar_hindustani-raag-small_00000070,india,train
