track_id,culture,audio_path,factor_energy,factor_brightness,factor_texture,factor_dynamics,factor_percussiveness,rms,zcr,centroid_hz,flatness,flux
sanchit-gandhi_gtzan_00000000,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000000.wav,mid,mid,noisy,mixed,mixed,0.13650421798229218,0.10335064679384232,1514.4970703125,0.35045793652534485,0.06486526131629944
sanchit-gandhi_gtzan_00000001,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000001.wav,mid,dark,mixed,dynamic,smooth,0.10600206255912781,0.07051294296979904,1114.2197265625,0.2306521236896515,0.07737881690263748
sanchit-gandhi_gtzan_00000002,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000002.wav,high,mid,mixed,mixed,mixed,0.17204880714416504,0.09380058944225311,1328.7117919921875,0.2796345353126526,0.07047821581363678
sanchit-gandhi_gtzan_00000003,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000003.wav,high,dark,tonal,mixed,smooth,0.1649160385131836,0.04058150202035904,775.11083984375,0.1666291207075119,0.0709155797958374
sanchit-gandhi_gtzan_00000004,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000004.wav,mid,bright,noisy,mixed,percussive,0.11501044034957886,0.15398220717906952,1804.8167724609375,0.33092164993286133,0.06248012185096741
sanchit-gandhi_gtzan_00000005,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000005.wav,mid,mid,mixed,mixed,mixed,0.12087251991033554,0.12633828818798065,1569.527587890625,0.25461551547050476,0.061827652156353
sanchit-gandhi_gtzan_00000006,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000006.wav,mid,dark,tonal,stable,smooth,0.13902626931667328,0.07428796589374542,1068.564453125,0.1396821290254593,0.0565200075507164
sanchit-gandhi_gtzan_00000007,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000007.wav,mid,dark,mixed,dynamic,smooth,0.13262426853179932,0.07517547160387039,1182.4139404296875,0.21314556896686554,0.0729387179017067
sanchit-gandhi_gtzan_00000008,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000008.wav,high,mid,noisy,mixed,mixed,0.15161891281604767,0.0879942998290062,1456.75439453125,0.3297404646873474,0.06334415078163147
sanchit-gandhi_gtzan_00000009,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000009.wav,mid,mid,noisy,mixed,mixed,0.10863029956817627,0.10661941766738892,1565.225341796875,0.3113515377044678,0.06512937694787979
sanchit-gandhi_gtzan_00000010,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000010.wav,high,dark,mixed,mixed,mixed,0.14919398725032806,0.09209432452917099,1182.13330078125,0.20163090527057648,0.06398200243711472
sanchit-gandhi_gtzan_00000011,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000011.wav,low,dark,mixed,mixed,smooth,0.06695624440908432,0.05535034462809563,1060.1973876953125,0.25168514251708984,0.06116835027933121
sanchit-gandhi_gtzan_00000012,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000012.wav,mid,mid,mixed,dynamic,mixed,0.12654533982276917,0.10608816146850586,1314.228271484375,0.20423339307308197,0.07427971810102463
sanchit-gandhi_gtzan_00000013,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000013.wav,mid,dark,mixed,dynamic,smooth,0.10971570760011673,0.06395664811134338,1085.9637451171875,0.237942636013031,0.09198039025068283
sanchit-gandhi_gtzan_00000014,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000014.wav,mid,dark,tonal,dynamic,smooth,0.08095967024564743,0.05240032821893692,826.5154418945312,0.15933199226856232,0.10078660398721695
sanchit-gandhi_gtzan_00000015,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000015.wav,mid,mid,mixed,dynamic,mixed,0.08649392426013947,0.09503809362649918,1265.8623046875,0.2333192676305771,0.08794156461954117
sanchit-gandhi_gtzan_00000016,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000016.wav,mid,mid,mixed,dynamic,mixed,0.09803923219442368,0.08838805556297302,1236.7073974609375,0.23969002068042755,0.0837075263261795
sanchit-gandhi_gtzan_00000017,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000017.wav,mid,dark,tonal,dynamic,smooth,0.11233791708946228,0.06798167526721954,988.9954833984375,0.15683269500732422,0.08735290169715881
sanchit-gandhi_gtzan_00000018,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000018.wav,mid,mid,mixed,dynamic,smooth,0.08160075545310974,0.07725673168897629,1263.18798828125,0.26027441024780273,0.08320103585720062
sanchit-gandhi_gtzan_00000019,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000019.wav,mid,dark,tonal,dynamic,smooth,0.10358957946300507,0.07195045053958893,961.7784423828125,0.16222481429576874,0.08053651452064514
sanchit-gandhi_gtzan_00000020,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000020.wav,mid,dark,mixed,dynamic,smooth,0.08144348859786987,0.06615666300058365,1099.503662109375,0.2511829733848572,0.08922179043292999
sanchit-gandhi_gtzan_00000021,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000021.wav,mid,dark,tonal,dynamic,smooth,0.10675846040248871,0.06825042515993118,913.31494140625,0.1436544805765152,0.08970460295677185
sanchit-gandhi_gtzan_00000022,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000022.wav,mid,dark,tonal,dynamic,smooth,0.12832973897457123,0.06563790887594223,870.30712890625,0.14274580776691437,0.09723819047212601
sanchit-gandhi_gtzan_00000023,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000023.wav,mid,dark,mixed,dynamic,smooth,0.14222770929336548,0.07663797587156296,1076.186279296875,0.1711539477109909,0.07811234891414642
sanchit-gandhi_gtzan_00000024,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000024.wav,mid,dark,tonal,dynamic,smooth,0.12447457015514374,0.06722541898488998,918.314697265625,0.12402360886335373,0.07211492955684662
sanchit-gandhi_gtzan_00000025,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000025.wav,mid,dark,tonal,dynamic,smooth,0.12397058308124542,0.05922536924481392,892.509765625,0.14499320089817047,0.0920887365937233
sanchit-gandhi_gtzan_00000026,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000026.wav,mid,dark,tonal,dynamic,smooth,0.0814208835363388,0.06950043141841888,1042.5614013671875,0.16574077308177948,0.08114619553089142
sanchit-gandhi_gtzan_00000027,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000027.wav,mid,dark,mixed,dynamic,mixed,0.09821315109729767,0.09206932783126831,1187.0791015625,0.17792706191539764,0.0715561956167221
sanchit-gandhi_gtzan_00000028,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000028.wav,high,dark,tonal,dynamic,smooth,0.14482858777046204,0.06980668753385544,933.1967163085938,0.13941316306591034,0.07396821677684784
sanchit-gandhi_gtzan_00000029,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000029.wav,high,dark,mixed,mixed,smooth,0.14711083471775055,0.057656608521938324,1149.4312744140625,0.2072889655828476,0.06697224080562592
