track_id,culture,split
sanchit-gandhi_gtzan_00000000,west,train
sanchit-gandhi_gtzan_00000002,west,train
sanchit-gandhi_gtzan_00000003,west,train
sanchit-gandhi_gtzan_00000004,west,train
sanchit-gandhi_gtzan_00000005,west,train
sanchit-gandhi_gtzan_00000006,west,train
sanchit-gandhi_gtzan_00000007,west,train
sanchit-gandhi_gtzan_00000009,west,train
sanchit-gandhi_gtzan_00000010,west,train
sanchit-gandhi_gtzan_00000011,west,train
sanchit-gandhi_gtzan_00000001,west,val
sanchit-gandhi_gtzan_00000008,west,test
