track_id,culture,split
t00000,west,train
t00001,west,train
t00002,africa,train
t00003,india,train
t00004,west,train
t00006,africa,train
t00007,india,train
t00008,west,train
t00009,africa,train
t00010,india,train
t00011,africa,train
t00012,africa,train
t00013,west,train
t00015,africa,train
t00016,west,train
t00017,india,train
t00018,africa,train
t00020,africa,train
t00021,west,train
t00023,west,train
t00024,africa,train
t00027,africa,train
t00029,india,train
t00030,west,train
t00032,west,train
t00033,africa,train
t00035,india,train
t00037,india,train
t00038,india,train
t00040,west,train
t00044,india,train
t00045,india,train
t00046,africa,train
t00048,india,train
t00049,india,train
t00053,india,train
t00054,india,train
t00055,west,train
t00056,africa,train
t00058,west,train
t00059,west,train
t00060,africa,train
t00061,africa,train
t00062,india,train
t00063,west,train
t00064,india,train
t00065,west,train
t00066,west,train
t00067,india,train
t00069,india,train
t00070,india,train
t00072,india,train
t00073,west,train
t00074,africa,train
t00075,west,train
t00076,africa,train
t00077,west,train
t00079,india,train
t00080,africa,train
t00081,west,train
t00082,west,train
t00083,india,train
t00084,west,train
t00085,africa,train
t00087,west,train
t00088,africa,train
t00089,india,train
t00091,west,train
t00092,india,train
t00093,india,train
t00094,west,train
t00095,africa,train
t00096,west,train
t00097,africa,train
t00098,west,train
t00101,africa,train
t00102,africa,train
t00103,west,train
t00105,west,train
t00106,west,train
t00107,india,train
t00108,india,train
t00109,india,train
t00110,west,train
t00112,india,train
t00113,india,train
t00115,west,train
t00116,india,train
t00117,africa,train
t00118,africa,train
t00119,west,train
t00120,west,train
t00121,africa,train
t00122,india,train
t00123,west,train
t00124,africa,train
t00126,west,train
t00127,west,train
t00129,west,train
t00131,india,train
t00133,west,train
t00137,india,train
t00139,africa,train
t00141,west,train
t00142,africa,train
t00143,india,train
t00144,india,train
t00145,west,train
t00146,west,train
t00147,west,train
t00149,india,train
t00151,west,train
t00152,india,train
t00153,africa,train
t00154,africa,train
t00155,west,train
t00156,west,train
t00157,india,train
t00158,india,train
t00159,africa,train
t00160,west,train
t00161,india,train
t00164,africa,train
t00165,west,train
t00166,west,train
t00167,west,train
t00168,africa,train
t00169,west,train
t00170,west,train
t00171,africa,train
t00172,india,train
t00174,india,train
t00175,west,train
t00176,africa,train
t00177,africa,train
t00178,africa,train
t00180,west,train
t00181,india,train
t00182,india,train
t00183,west,train
t00184,west,train
t00185,west,train
t00186,africa,train
t00189,west,train
t00190,africa,train
t00191,west,train
t00192,west,train
t00193,africa,train
t00194,west,train
t00195,west,train
t00196,west,train
t00197,africa,train
t00198,africa,train
t00199,west,train
t00200,india,train
t00201,india,train
t00202,west,train
t00203,india,train
t00204,africa,train
t00206,west,train
t00208,india,train
t00209,west,train
t00211,india,train
t00212,india,train
t00213,africa,train
t00215,west,train
t00216,africa,train
t00217,india,train
t00218,india,train
t00219,india,train
t00220,india,train
t00221,india,train
t00222,india,train
t00224,west,train
t00225,india,train
t00226,africa,train
t00227,africa,train
t00228,africa,train
t00229,africa,train
t00230,india,train
t00231,india,train
t00232,africa,train
t00233,africa,train
t00234,india,train
t00236,africa,train
t00237,west,train
t00238,india,train
t00239,west,train
t00240,india,train
t00241,west,train
t00242,west,train
t00244,africa,train
t00245,west,train
t00248,west,train
t00249,africa,train
t00250,india,train
t00252,west,train
t00253,india,train
t00255,india,train
t00258,india,train
t00259,africa,train
t00260,india,train
t00261,west,train
t00262,africa,train
t00263,west,train
t00265,india,train
t00266,india,train
t00267,west,train
t00268,africa,train
t00269,africa,train
t00270,india,train
t00271,india,train
t00272,india,train
t00273,india,train
t00274,india,train
t00275,west,train
t00276,africa,train
t00277,west,train
t00278,india,train
t00279,india,train
t00280,west,train
t00281,west,train
t00283,west,train
t00284,west,train
t00285,india,train
t00286,west,train
t00287,west,train
t00288,africa,train
t00289,africa,train
t00290,west,train
t00291,africa,train
t00292,india,train
t00293,africa,train
t00295,africa,train
t00296,india,train
t00297,africa,train
t00298,africa,train
t00299,west,train
t00300,west,train
t00301,india,train
t00303,west,train
