track_id,culture,split
t00000,india,train
t00001,west,train
t00003,africa,train
t00004,west,train
t00005,india,train
t00006,india,train
t00008,west,train
t00010,india,train
t00012,africa,train
t00014,africa,train
t00015,india,train
t00016,africa,train
t00017,africa,train
t00018,west,train
t00019,india,train
t00022,west,train
t00023,africa,train
t00024,africa,train
t00025,west,train
t00026,africa,train
t00027,india,train
t00028,africa,train
t00029,india,train
t00031,west,train
t00032,india,train
t00033,africa,train
t00034,west,train
t00035,africa,train
t00036,africa,train
t00037,africa,train
t00038,india,train
t00039,india,train
t00040,africa,train
t00042,west,train
t00043,africa,train
t00044,africa,train
t00045,india,train
t00046,west,train
t00047,africa,train
t00050,west,train
t00052,africa,train
t00053,west,train
t00054,west,train
t00058,west,train
t00059,west,train
t00060,west,train
t00061,africa,train
t00062,west,train
t00063,africa,train
t00064,africa,train
t00065,west,train
t00066,india,train
t00067,west,train
t00068,west,train
t00069,west,train
t00070,india,train
t00071,africa,train
t00072,africa,train
t00073,west,train
t00074,west,train
t00075,africa,train
t00077,west,train
t00078,india,train
t00079,west,train
t00080,india,train
t00081,west,train
t00083,africa,train
t00084,west,train
t00085,west,train
t00086,india,train
t00087,africa,train
t00088,india,train
t00089,india,train
t00090,west,train
t00091,west,train
t00092,west,train
t00093,west,train
t00094,india,train
t00095,india,train
t00097,india,train
t00011,africa,val
t00013,africa,val
t00041,india,val
t00048,west,val
t00049,india,val
t00056,west,val
t00057,india,val
t00076,africa,val
t00096,west,val
t00099,west,val
t00002,west,test
t00007,india,test
t00009,africa,test
t00020,west,test
t00021,africa,test
t00030,africa,test
t00051,india,test
t00055,west,test
t00082,west,test
t00098,india,test
