task_id,track_id_a,track_id_b,culture_a,culture_b,label_a,label_b,title_a,title_b,audio_path_a,audio_path_b,source_url_a,source_url_b,uncertainty,uncertainty_method,question,similar,rationale,annotator,notes
pal_0001,china_ctis_0058,china_ctis_0008,china,china,T0260,T0260,中阮,中阮,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0058.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0008.wav,,,1.9792051315307617,culture_centroid_entropy,"Do these two tracks feel similar in affective function or listening intent? If yes or no, write one short rationale.",,,,
pal_0002,china_ctis_0064,china_jingju_0068,china,china,C0308,lsxp,吐良,Jiang_shen_er,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_ctis_0064.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0068.wav,,,1.8636806011199951,culture_centroid_entropy,"Do these two tracks feel similar in affective function or listening intent? If yes or no, write one short rationale.",,,,
pal_0003,france_0035,turkey_modern_0119,france,turkey,[],,nigtfallleague,,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0035.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\turkey\audio\turkey_modern_0119.mp3,,,2.0228090286254883,culture_centroid_entropy,"Do these two tracks feel similar in affective function or listening intent? If yes or no, write one short rationale.",,,,
pal_0004,france_0090,indonesia_gamelan_0012,france,indonesia,"[107, 1235]",orchestra/target,Beyond the grey clouds: 曇り空のかなたに,,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0090.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\indonesia\audio\indonesia_gamelan_0012.wav,,,1.9072847366333008,culture_centroid_entropy,"Do these two tracks feel similar in affective function or listening intent? If yes or no, write one short rationale.",,,,
pal_0005,germany_0005,turkey_modern_0005,germany,turkey,"[18, 1235]",,Trailer Music,,E:\Desktop\Echo\storage\public\research_dataset_v3\germany\audio\germany_0005.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\turkey\audio\turkey_modern_0005.mp3,,,2.138333320617676,culture_centroid_entropy,"Do these two tracks feel similar in affective function or listening intent? If yes or no, write one short rationale.",,,,
pal_0006,germany_0095,modern_english_pop_0069,germany,modern_english_pop,"[17, 3, 4, 103]","['folk', 'instrumentalpop']",Springtime,,E:\Desktop\Echo\storage\public\research_dataset_v3\germany\audio\germany_0095.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\modern_english_pop\audio\modern_english_pop_0069.mp3,,,1.9792050123214722,culture_centroid_entropy,"Do these two tracks feel similar in affective function or listening intent? If yes or no, write one short rationale.",,,,
pal_0007,great_britain_0061,italy_0094,great_britain,italy,[10],[4],In The Sun,Soyuz,E:\Desktop\Echo\storage\public\research_dataset_v3\great_britain\audio\great_britain_0061.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\italy\audio\italy_0094.mp3,,,2.138333320617676,culture_centroid_entropy,"Do these two tracks feel similar in affective function or listening intent? If yes or no, write one short rationale.",,,,
pal_0008,great_britain_0057,great_britain_0023,great_britain,great_britain,"[17, 103]",[17],Noon,Ocean,E:\Desktop\Echo\storage\public\research_dataset_v3\great_britain\audio\great_britain_0057.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\great_britain\audio\great_britain_0023.mp3,,,2.0228090286254883,culture_centroid_entropy,"Do these two tracks feel similar in affective function or listening intent? If yes or no, write one short rationale.",,,,
pal_0009,india_saraga_0102,turkey_modern_0106,india,turkey,Raag Todi,,Raag Todi,,E:\Desktop\Echo\storage\public\research_dataset_v3\india\audio\india_saraga_0102.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\turkey\audio\turkey_modern_0106.mp3,,,1.9792050123214722,culture_centroid_entropy,"Do these two tracks feel similar in affective function or listening intent? If yes or no, write one short rationale.",,,,
pal_0010,india_saraga_0105,india_saraga_0084,india,india,Raga Lalit - Khayal,Raag Marwa,Raga Lalit - Khayal,Raag Marwa,E:\Desktop\Echo\storage\public\research_dataset_v3\india\audio\india_saraga_0105.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\india\audio\india_saraga_0084.mp3,,,1.9792050123214722,culture_centroid_entropy,"Do these two tracks feel similar in affective function or listening intent? If yes or no, write one short rationale.",,,,
