track_id,culture,audio_path,source_dataset,source_split,source_index,label,instrument,mood_theme,duration
vtsouval_mtg_jamendo_autotagging_00000000,anglo_pop,audio/vtsouval_mtg_jamendo_autotagging_00000000.mp3,vtsouval/mtg_jamendo_autotagging,train,0,"['downtempo', 'lounge', 'easylistening', 'chillout', 'electronic']",['synthesizer'],['background'],30
vtsouval_mtg_jamendo_autotagging_00000001,anglo_pop,audio/vtsouval_mtg_jamendo_autotagging_00000001.mp3,vtsouval/mtg_jamendo_autotagging,train,1,"['techno', 'lounge', 'easylistening', 'chillout', 'electronic']",['synthesizer'],['background'],30
vtsouval_mtg_jamendo_autotagging_00000002,anglo_pop,audio/vtsouval_mtg_jamendo_autotagging_00000002.mp3,vtsouval/mtg_jamendo_autotagging,train,2,"['techno', 'lounge', 'ambient', 'easylistening', 'electronic']",['synthesizer'],['background'],30
vtsouval_mtg_jamendo_autotagging_00000003,anglo_pop,audio/vtsouval_mtg_jamendo_autotagging_00000003.mp3,vtsouval/mtg_jamendo_autotagging,train,3,['soundtrack'],"['keyboard', 'trombone', 'cello']",['emotional'],30
vtsouval_mtg_jamendo_autotagging_00000004,anglo_pop,audio/vtsouval_mtg_jamendo_autotagging_00000004.mp3,vtsouval/mtg_jamendo_autotagging,train,4,"['soundtrack', 'classical']",['piano'],['documentary'],30
vtsouval_mtg_jamendo_autotagging_00000005,anglo_pop,audio/vtsouval_mtg_jamendo_autotagging_00000005.mp3,vtsouval/mtg_jamendo_autotagging,train,5,['soundtrack'],"['trombone', 'keyboard']","['documentary', 'emotional']",30
vtsouval_mtg_jamendo_autotagging_00000006,anglo_pop,audio/vtsouval_mtg_jamendo_autotagging_00000006.mp3,vtsouval/mtg_jamendo_autotagging,train,6,['soundtrack'],"['trombone', 'keyboard']","['documentary', 'emotional']",30
vtsouval_mtg_jamendo_autotagging_00000007,anglo_pop,audio/vtsouval_mtg_jamendo_autotagging_00000007.mp3,vtsouval/mtg_jamendo_autotagging,train,7,['soundtrack'],"['trombone', 'keyboard']","['documentary', 'emotional']",30
vtsouval_mtg_jamendo_autotagging_00000008,anglo_pop,audio/vtsouval_mtg_jamendo_autotagging_00000008.mp3,vtsouval/mtg_jamendo_autotagging,train,8,['soundtrack'],"['trombone', 'keyboard']","['documentary', 'emotional']",30
vtsouval_mtg_jamendo_autotagging_00000009,anglo_pop,audio/vtsouval_mtg_jamendo_autotagging_00000009.mp3,vtsouval/mtg_jamendo_autotagging,train,9,['soundtrack'],"['horn', 'keyboard', 'trumpet', 'violin', 'doublebass', 'clarinet', 'trombone', 'cello']","['documentary', 'relaxing', 'emotional']",30
