track_id,culture,audio_path,source_dataset,source_split,source_index,label,instrument,mood_theme,duration
vtsouval_mtg_jamendo_autotagging_00000014,anglo_pop,audio\vtsouval_mtg_jamendo_autotagging_00000014.mp3,vtsouval/mtg_jamendo_autotagging,train,14,"['pop', 'dance', 'electronic']",['accordion'],['melodic'],30
vtsouval_mtg_jamendo_autotagging_00000015,anglo_pop,audio\vtsouval_mtg_jamendo_autotagging_00000015.mp3,vtsouval/mtg_jamendo_autotagging,train,15,"['pop', 'dance', 'electronic']",['accordion'],['melodic'],30
vtsouval_mtg_jamendo_autotagging_00000016,anglo_pop,audio\vtsouval_mtg_jamendo_autotagging_00000016.mp3,vtsouval/mtg_jamendo_autotagging,train,16,"['pop', 'dance', 'electronic']",['accordion'],['melodic'],30
vtsouval_mtg_jamendo_autotagging_00000017,anglo_pop,audio\vtsouval_mtg_jamendo_autotagging_00000017.mp3,vtsouval/mtg_jamendo_autotagging,train,17,"['pop', 'dance', 'electronic']",['accordion'],['melodic'],30
vtsouval_mtg_jamendo_autotagging_00000018,anglo_pop,audio\vtsouval_mtg_jamendo_autotagging_00000018.mp3,vtsouval/mtg_jamendo_autotagging,train,18,"['pop', 'dance', 'electronic']",['accordion'],['melodic'],30
vtsouval_mtg_jamendo_autotagging_00000019,anglo_pop,audio\vtsouval_mtg_jamendo_autotagging_00000019.mp3,vtsouval/mtg_jamendo_autotagging,train,19,"['pop', 'dance', 'electronic']",['accordion'],['melodic'],30
vtsouval_mtg_jamendo_autotagging_00000020,anglo_pop,audio\vtsouval_mtg_jamendo_autotagging_00000020.mp3,vtsouval/mtg_jamendo_autotagging,train,20,"['pop', 'rock', 'alternative']",['piano'],['relaxing'],30
vtsouval_mtg_jamendo_autotagging_00000021,anglo_pop,audio\vtsouval_mtg_jamendo_autotagging_00000021.mp3,vtsouval/mtg_jamendo_autotagging,train,21,['pop'],['piano'],['relaxing'],30
vtsouval_mtg_jamendo_autotagging_00000022,anglo_pop,audio\vtsouval_mtg_jamendo_autotagging_00000022.mp3,vtsouval/mtg_jamendo_autotagging,train,22,['pop'],['piano'],['relaxing'],30
vtsouval_mtg_jamendo_autotagging_00000023,anglo_pop,audio\vtsouval_mtg_jamendo_autotagging_00000023.mp3,vtsouval/mtg_jamendo_autotagging,train,23,['pop'],['piano'],['relaxing'],30
vtsouval_mtg_jamendo_autotagging_00000024,anglo_pop,audio\vtsouval_mtg_jamendo_autotagging_00000024.mp3,vtsouval/mtg_jamendo_autotagging,train,24,"['pop', 'minimal']",['piano'],['relaxing'],30
vtsouval_mtg_jamendo_autotagging_00000025,anglo_pop,audio\vtsouval_mtg_jamendo_autotagging_00000025.mp3,vtsouval/mtg_jamendo_autotagging,train,25,['pop'],['piano'],['relaxing'],30
vtsouval_mtg_jamendo_autotagging_00000026,anglo_pop,audio\vtsouval_mtg_jamendo_autotagging_00000026.mp3,vtsouval/mtg_jamendo_autotagging,train,26,"['folk', 'pop']",['piano'],['relaxing'],30
vtsouval_mtg_jamendo_autotagging_00000027,anglo_pop,audio\vtsouval_mtg_jamendo_autotagging_00000027.mp3,vtsouval/mtg_jamendo_autotagging,train,27,"['pop', 'country', 'popfolk']",['piano'],['relaxing'],30
vtsouval_mtg_jamendo_autotagging_00000028,anglo_pop,audio\vtsouval_mtg_jamendo_autotagging_00000028.mp3,vtsouval/mtg_jamendo_autotagging,train,28,"['pop', 'classical']",['piano'],['relaxing'],30
vtsouval_mtg_jamendo_autotagging_00000029,anglo_pop,audio\vtsouval_mtg_jamendo_autotagging_00000029.mp3,vtsouval/mtg_jamendo_autotagging,train,29,['pop'],['piano'],['relaxing'],30
vtsouval_mtg_jamendo_autotagging_00000030,anglo_pop,audio\vtsouval_mtg_jamendo_autotagging_00000030.mp3,vtsouval/mtg_jamendo_autotagging,train,30,"['pop', 'jazz']",['piano'],['relaxing'],30
vtsouval_mtg_jamendo_autotagging_00000031,anglo_pop,audio\vtsouval_mtg_jamendo_autotagging_00000031.mp3,vtsouval/mtg_jamendo_autotagging,train,31,['pop'],['piano'],['relaxing'],30
vtsouval_mtg_jamendo_autotagging_00000032,anglo_pop,audio\vtsouval_mtg_jamendo_autotagging_00000032.mp3,vtsouval/mtg_jamendo_autotagging,train,32,"['pop', 'minimal']",['piano'],['relaxing'],30
vtsouval_mtg_jamendo_autotagging_00000033,anglo_pop,audio\vtsouval_mtg_jamendo_autotagging_00000033.mp3,vtsouval/mtg_jamendo_autotagging,train,33,"['pop', 'minimal']",['piano'],['relaxing'],30
