track_id,culture,audio_path,source_dataset,source_split,source_index,label,cname,pinyin
ccmusic-database_CTIS_00000000,china,audio/ccmusic-database_CTIS_00000000.wav,ccmusic-database/CTIS,train,0,D0287,深波,shen1_bo1
ccmusic-database_CTIS_00000001,china,audio/ccmusic-database_CTIS_00000001.wav,ccmusic-database/CTIS,train,1,L0136,渔胡,yu2_hu2
ccmusic-database_CTIS_00000002,china,audio/ccmusic-database_CTIS_00000002.wav,ccmusic-database/CTIS,train,2,C0259,中音加键唢呐,Alto_jia1_jian4_suo3_na
ccmusic-database_CTIS_00000003,china,audio/ccmusic-database_CTIS_00000003.wav,ccmusic-database/CTIS,train,3,T0319,低音热瓦普,Bass_re4_wa3_pu3
ccmusic-database_CTIS_00000004,china,audio/ccmusic-database_CTIS_00000004.wav,ccmusic-database/CTIS,train,4,T0081,玄琴,xuan2_qin2
ccmusic-database_CTIS_00000005,china,audio/ccmusic-database_CTIS_00000005.wav,ccmusic-database/CTIS,train,5,L0046,扬剧主胡F调,yang2_ju4_zhu3_hu2_in_F
ccmusic-database_CTIS_00000006,china,audio/ccmusic-database_CTIS_00000006.wav,ccmusic-database/CTIS,train,6,L0162,襄阳专用胡琴,xiang1_yang2_zhuan1_yong4_hu2_qin2
ccmusic-database_CTIS_00000007,china,audio/ccmusic-database_CTIS_00000007.wav,ccmusic-database/CTIS,train,7,L0256,雷琴,lei2_qin2
ccmusic-database_CTIS_00000008,china,audio/ccmusic-database_CTIS_00000008.wav,ccmusic-database/CTIS,train,8,L0151,四弦,si4_xian2
ccmusic-database_CTIS_00000009,china,audio/ccmusic-database_CTIS_00000009.wav,ccmusic-database/CTIS,train,9,L0167,黔胡,qian2_hu2
ccmusic-database_CTIS_00000010,china,audio/ccmusic-database_CTIS_00000010.wav,ccmusic-database/CTIS,train,10,L0045,扬剧主胡,yang2_ju4_zhu3_hu2
ccmusic-database_CTIS_00000011,china,audio/ccmusic-database_CTIS_00000011.wav,ccmusic-database/CTIS,train,11,T0006,陶布舒尔,tao2_bu4_shu1_er3
ccmusic-database_CTIS_00000012,china,audio/ccmusic-database_CTIS_00000012.wav,ccmusic-database/CTIS,train,12,L0136,渔胡,yu2_hu2
ccmusic-database_CTIS_00000013,china,audio/ccmusic-database_CTIS_00000013.wav,ccmusic-database/CTIS,train,13,L0167,黔胡,qian2_hu2
ccmusic-database_CTIS_00000014,china,audio/ccmusic-database_CTIS_00000014.wav,ccmusic-database/CTIS,train,14,L0313,佤族独弦琴,wa3_zu2_du2_xian2_qin2
ccmusic-database_CTIS_00000015,china,audio/ccmusic-database_CTIS_00000015.wav,ccmusic-database/CTIS,train,15,L0044,锡剧主胡,xi1_ju4_zhu3_hu2
ccmusic-database_CTIS_00000016,china,audio/ccmusic-database_CTIS_00000016.wav,ccmusic-database/CTIS,train,16,L0266,二胡,er4_hu2
ccmusic-database_CTIS_00000017,china,audio/ccmusic-database_CTIS_00000017.wav,ccmusic-database/CTIS,train,17,C0124,大吹,da4_chui1
ccmusic-database_CTIS_00000018,china,audio/ccmusic-database_CTIS_00000018.wav,ccmusic-database/CTIS,train,18,D0241,编钟,bian1_zhong1
ccmusic-database_CTIS_00000019,china,audio/ccmusic-database_CTIS_00000019.wav,ccmusic-database/CTIS,train,19,T0318,弹拨尔,dan4_bo1_er3
ccmusic-database_CTIS_00000020,china,audio/ccmusic-database_CTIS_00000020.wav,ccmusic-database/CTIS,train,20,L0085,奚琴(改良),xi1_qin2_(reformed)
ccmusic-database_CTIS_00000021,china,audio/ccmusic-database_CTIS_00000021.wav,ccmusic-database/CTIS,train,21,C0281,G调新笛,xin1_di2_in_G
ccmusic-database_CTIS_00000022,china,audio/ccmusic-database_CTIS_00000022.wav,ccmusic-database/CTIS,train,22,C0259,中音加键唢呐,Alto_jia1_jian4_suo3_na
ccmusic-database_CTIS_00000023,china,audio/ccmusic-database_CTIS_00000023.wav,ccmusic-database/CTIS,train,23,L0122,壳仔弦,ke2_zai3_xian2
ccmusic-database_CTIS_00000024,china,audio/ccmusic-database_CTIS_00000024.wav,ccmusic-database/CTIS,train,24,D0069,蛮锣,man2_luo2
ccmusic-database_CTIS_00000025,china,audio/ccmusic-database_CTIS_00000025.wav,ccmusic-database/CTIS,train,25,D0143,双铃,shuang1_ling2
ccmusic-database_CTIS_00000026,china,audio/ccmusic-database_CTIS_00000026.wav,ccmusic-database/CTIS,train,26,C0303,小闷笛,xiao3_men1_di2
ccmusic-database_CTIS_00000027,china,audio/ccmusic-database_CTIS_00000027.wav,ccmusic-database/CTIS,train,27,T0260,中阮,zhong1_ruan3
ccmusic-database_CTIS_00000028,china,audio/ccmusic-database_CTIS_00000028.wav,ccmusic-database/CTIS,train,28,L0055,牛腿琴,niu2_tui3_qin2
ccmusic-database_CTIS_00000029,china,audio/ccmusic-database_CTIS_00000029.wav,ccmusic-database/CTIS,train,29,T0111,三弦,san1_xian2
ccmusic-database_CTIS_00000030,china,audio/ccmusic-database_CTIS_00000030.wav,ccmusic-database/CTIS,train,30,C0259,中音加键唢呐,Alto_jia1_jian4_suo3_na
ccmusic-database_CTIS_00000031,china,audio/ccmusic-database_CTIS_00000031.wav,ccmusic-database/CTIS,train,31,T0301,玎,ding1
ccmusic-database_CTIS_00000032,china,audio/ccmusic-database_CTIS_00000032.wav,ccmusic-database/CTIS,train,32,T0116,八角月琴,ba1_jiao3_yue4_qin2
ccmusic-database_CTIS_00000033,china,audio/ccmusic-database_CTIS_00000033.wav,ccmusic-database/CTIS,train,33,C0096,小筚篥,Treble_bi4_li
ccmusic-database_CTIS_00000034,china,audio/ccmusic-database_CTIS_00000034.wav,ccmusic-database/CTIS,train,34,L0136,渔胡,yu2_hu2
ccmusic-database_CTIS_00000035,china,audio/ccmusic-database_CTIS_00000035.wav,ccmusic-database/CTIS,train,35,D0248,中国大鼓,Chinese_da4_gu3
ccmusic-database_CTIS_00000036,china,audio/ccmusic-database_CTIS_00000036.wav,ccmusic-database/CTIS,train,36,T0254,箜篌,kong1_hou2
ccmusic-database_CTIS_00000037,china,audio/ccmusic-database_CTIS_00000037.wav,ccmusic-database/CTIS,train,37,D0180,宜春三星鼓禄鼓老鼓,yi2_chun1_san1_xing1_gu3_lu4_gu3_(traditional)
ccmusic-database_CTIS_00000038,china,audio/ccmusic-database_CTIS_00000038.wav,ccmusic-database/CTIS,train,38,T0289,三弦2,san1_xian2_2
ccmusic-database_CTIS_00000039,china,audio/ccmusic-database_CTIS_00000039.wav,ccmusic-database/CTIS,train,39,L0134,陇剧陇胡(改良)D调,long3_ju4_long3_hu2_(reformed)_in_D
ccmusic-database_CTIS_00000040,china,audio/ccmusic-database_CTIS_00000040.wav,ccmusic-database/CTIS,train,40,D0146,四宝,si4_bao3
