track_id,culture,audio_path,source_dataset,source_split,source_index,label,title,rights,source_url
2023846_medienarchiv_web_detailansicht_id_180038,germany,audio\2023846_medienarchiv_web_detailansicht_id_180038.mp3,europeana_search,search,0,,Marsch und Volkstänze aus Geseke; Marsch und Volkstänze aus Geseke,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_180038?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_171609,germany,audio\2023846_medienarchiv_web_detailansicht_id_171609.mp3,europeana_search,search,16,,"Schult “Ölinkhoff; ""Glocken”"" (song) and exaltation",http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_171609?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_184337,germany,audio\2023846_medienarchiv_web_detailansicht_id_184337.mp3,europeana_search,search,19,,Sternsingerlied aus Assinghausen,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_184337?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_178910,germany,audio\2023846_medienarchiv_web_detailansicht_id_178910.mp3,europeana_search,search,20,,"Ruhr song; “Ruhrlied,” sung by Josef Veit",http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_178910?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_179929,germany,audio\2023846_medienarchiv_web_detailansicht_id_179929.mp3,europeana_search,search,22,,Bochum boy’s song; Bochum Maiabendfest 1970,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_179929?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_175490,germany,audio\2023846_medienarchiv_web_detailansicht_id_175490.mp3,europeana_search,search,26,,"In the Wesbach it’s chubby; tape letter and songs// sound samples, played and sung by the manufacturer of the devil’s violin Antonius Bder",http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_175490?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_180714,germany,audio\2023846_medienarchiv_web_detailansicht_id_180714.mp3,europeana_search,search,27,,This song welcomes you to a new wedding party; songs and customs in the annual run,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_180714?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_177009,germany,audio\2023846_medienarchiv_web_detailansicht_id_177009.mp3,europeana_search,search,29,,"Weserlied; Theodor Große-Venhaus, Lieder und Gespräche (Gesamtaufnahme) Lieder = HL 24",http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_177009?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_175494,germany,audio\2023846_medienarchiv_web_detailansicht_id_175494.mp3,europeana_search,search,31,,"Kommt her ihr Weiden; Tonbandbrief u. Lieder // Tonbeispiele, gespielt u. gesungen vom Hersteller der Teufelsgeige Antonius Brieden",http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_175494?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_171170,germany,audio\2023846_medienarchiv_web_detailansicht_id_171170.mp3,europeana_search,search,41,,O rural girls; handwritten songbook No. 65 - song No. 43,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_171170?utm_source=api&utm_medium=api&utm_campaign=api2demo
