track_id,culture,audio_path,source_dataset,source_split,source_index,label,title,rights,source_url
2023846_medienarchiv_web_detailansicht_id_193764,germany,audio\2023846_medienarchiv_web_detailansicht_id_193764.mp3,europeana_search,search,0,,"In the homeland, I want to keep quiet; songs in Feudinger dialect",http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_193764?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_193762,germany,audio\2023846_medienarchiv_web_detailansicht_id_193762.mp3,europeana_search,search,1,,"Horch, was nähert sich dem Tor; Lieder in Feudinger Mundart",http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_193762?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_193757,germany,audio\2023846_medienarchiv_web_detailansicht_id_193757.mp3,europeana_search,search,2,,Night spans her veil; songs in Feudinger dialect,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_193757?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_193756,germany,audio\2023846_medienarchiv_web_detailansicht_id_193756.mp3,europeana_search,search,3,,O how it got cold; songs in Feudinger dialect,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_193756?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_193754,germany,audio\2023846_medienarchiv_web_detailansicht_id_193754.mp3,europeana_search,search,4,,Von der Heimat weit entfernt; Lieder in Feudinger Mundart,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_193754?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_193753,germany,audio\2023846_medienarchiv_web_detailansicht_id_193753.mp3,europeana_search,search,5,,Foreign Legionnaire; Songs in Feudinger dialect,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_193753?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_193744,germany,audio\2023846_medienarchiv_web_detailansicht_id_193744.mp3,europeana_search,search,6,,Ich bin so gern daheim; Lieder in Feudinger Mundart,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_193744?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_193440,germany,audio\2023846_medienarchiv_web_detailansicht_id_193440.mp3,europeana_search,search,7,,"Hidelitche, Speelmannsgrittche; Songs in Feudinger dialect",http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_193440?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_193438,germany,audio\2023846_medienarchiv_web_detailansicht_id_193438.mp3,europeana_search,search,8,,"Geije, geije, gonke; songs in Feudinger dialect",http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_193438?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_193405,germany,audio\2023846_medienarchiv_web_detailansicht_id_193405.mp3,europeana_search,search,9,,Down there in the valley; songs in Feudinger dialect,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_193405?utm_source=api&utm_medium=api&utm_campaign=api2demo
