track_id,culture,audio_path,source_dataset,source_split,source_index,label,title,rights,source_url
2023846_medienarchiv_web_detailansicht_id_171609,germany,audio\2023846_medienarchiv_web_detailansicht_id_171609.mp3,europeana_search,search,0,,"Schult “Ölinkhoff; ""Glocken”"" (song) and exaltation",http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_171609?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_172660,germany,audio\2023846_medienarchiv_web_detailansicht_id_172660.mp3,europeana_search,search,8,,"Hl. Walpurgis-Lied; ""Pingstebrut"" in Ramsdorf",http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_172660?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_180714,germany,audio\2023846_medienarchiv_web_detailansicht_id_180714.mp3,europeana_search,search,11,,This song welcomes you to a new wedding party; songs and customs in the annual run,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_180714?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_171170,germany,audio\2023846_medienarchiv_web_detailansicht_id_171170.mp3,europeana_search,search,14,,O rural girls; handwritten songbook No. 65 - song No. 43,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_171170?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_167104,germany,audio\2023846_medienarchiv_web_detailansicht_id_167104.mp3,europeana_search,search,16,,Masurisches Lied vom Hund; Lieder der Flüchtlinge in Espelkamp,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_167104?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_171175,germany,audio\2023846_medienarchiv_web_detailansicht_id_171175.mp3,europeana_search,search,17,,Returning from the Hiking; handwritten songbook No. 65 - song No. 57,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_171175?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_171167,germany,audio\2023846_medienarchiv_web_detailansicht_id_171167.mp3,europeana_search,search,19,,Ein schwarzbraunes Mädchen; Handschriftliches Liederbuch Nr. 65 - Lied Nr. 18,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_171167?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_169302,germany,audio\2023846_medienarchiv_web_detailansicht_id_169302.mp3,europeana_search,search,20,,"Gemsgewehr; Handschriftliche Liederbuch Nr. 08 - Lieder und Gedichte, Lied Nr. 45",http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_169302?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_171169,germany,audio\2023846_medienarchiv_web_detailansicht_id_171169.mp3,europeana_search,search,22,,Zu Augsburg steht ein hohes Haus; Handschriftliches Liederbuch Nr. 65 - Lied Nr. 64,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_171169?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_180319,germany,audio\2023846_medienarchiv_web_detailansicht_id_180319.mp3,europeana_search,search,23,,Kenn ey all dat neye Lied; Volkstümliche Lieder des Westmünsterlandes,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_180319?utm_source=api&utm_medium=api&utm_campaign=api2demo
