track_id,culture,audio_path,source_dataset,source_split,source_index,label
neerajaabhyankar_hindustani-raag-small_00000000,india,audio/neerajaabhyankar_hindustani-raag-small_00000000.mp3,neerajaabhyankar/hindustani-raag-small,train,0,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000001,india,audio/neerajaabhyankar_hindustani-raag-small_00000001.mp3,neerajaabhyankar/hindustani-raag-small,train,1,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000002,india,audio/neerajaabhyankar_hindustani-raag-small_00000002.mp3,neerajaabhyankar/hindustani-raag-small,train,2,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000003,india,audio/neerajaabhyankar_hindustani-raag-small_00000003.mp3,neerajaabhyankar/hindustani-raag-small,train,3,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000004,india,audio/neerajaabhyankar_hindustani-raag-small_00000004.mp3,neerajaabhyankar/hindustani-raag-small,train,4,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000005,india,audio/neerajaabhyankar_hindustani-raag-small_00000005.mp3,neerajaabhyankar/hindustani-raag-small,train,5,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000006,india,audio/neerajaabhyankar_hindustani-raag-small_00000006.mp3,neerajaabhyankar/hindustani-raag-small,train,6,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000007,india,audio/neerajaabhyankar_hindustani-raag-small_00000007.mp3,neerajaabhyankar/hindustani-raag-small,train,7,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000008,india,audio/neerajaabhyankar_hindustani-raag-small_00000008.mp3,neerajaabhyankar/hindustani-raag-small,train,8,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000009,india,audio/neerajaabhyankar_hindustani-raag-small_00000009.mp3,neerajaabhyankar/hindustani-raag-small,train,9,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000010,india,audio/neerajaabhyankar_hindustani-raag-small_00000010.mp3,neerajaabhyankar/hindustani-raag-small,train,10,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000011,india,audio/neerajaabhyankar_hindustani-raag-small_00000011.mp3,neerajaabhyankar/hindustani-raag-small,train,11,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000012,india,audio/neerajaabhyankar_hindustani-raag-small_00000012.mp3,neerajaabhyankar/hindustani-raag-small,train,12,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000013,india,audio/neerajaabhyankar_hindustani-raag-small_00000013.mp3,neerajaabhyankar/hindustani-raag-small,train,13,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000014,india,audio/neerajaabhyankar_hindustani-raag-small_00000014.mp3,neerajaabhyankar/hindustani-raag-small,train,14,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000015,india,audio/neerajaabhyankar_hindustani-raag-small_00000015.mp3,neerajaabhyankar/hindustani-raag-small,train,15,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000016,india,audio/neerajaabhyankar_hindustani-raag-small_00000016.mp3,neerajaabhyankar/hindustani-raag-small,train,16,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000017,india,audio/neerajaabhyankar_hindustani-raag-small_00000017.mp3,neerajaabhyankar/hindustani-raag-small,train,17,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000018,india,audio/neerajaabhyankar_hindustani-raag-small_00000018.mp3,neerajaabhyankar/hindustani-raag-small,train,18,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000019,india,audio/neerajaabhyankar_hindustani-raag-small_00000019.mp3,neerajaabhyankar/hindustani-raag-small,train,19,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000020,india,audio/neerajaabhyankar_hindustani-raag-small_00000020.mp3,neerajaabhyankar/hindustani-raag-small,train,20,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000021,india,audio/neerajaabhyankar_hindustani-raag-small_00000021.mp3,neerajaabhyankar/hindustani-raag-small,train,21,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000022,india,audio/neerajaabhyankar_hindustani-raag-small_00000022.mp3,neerajaabhyankar/hindustani-raag-small,train,22,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000023,india,audio/neerajaabhyankar_hindustani-raag-small_00000023.mp3,neerajaabhyankar/hindustani-raag-small,train,23,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000024,india,audio/neerajaabhyankar_hindustani-raag-small_00000024.mp3,neerajaabhyankar/hindustani-raag-small,train,24,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000025,india,audio/neerajaabhyankar_hindustani-raag-small_00000025.mp3,neerajaabhyankar/hindustani-raag-small,train,25,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000026,india,audio/neerajaabhyankar_hindustani-raag-small_00000026.mp3,neerajaabhyankar/hindustani-raag-small,train,26,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000027,india,audio/neerajaabhyankar_hindustani-raag-small_00000027.mp3,neerajaabhyankar/hindustani-raag-small,train,27,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000028,india,audio/neerajaabhyankar_hindustani-raag-small_00000028.mp3,neerajaabhyankar/hindustani-raag-small,train,28,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000029,india,audio/neerajaabhyankar_hindustani-raag-small_00000029.mp3,neerajaabhyankar/hindustani-raag-small,train,29,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000030,india,audio/neerajaabhyankar_hindustani-raag-small_00000030.mp3,neerajaabhyankar/hindustani-raag-small,train,30,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000031,india,audio/neerajaabhyankar_hindustani-raag-small_00000031.mp3,neerajaabhyankar/hindustani-raag-small,train,31,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000032,india,audio/neerajaabhyankar_hindustani-raag-small_00000032.mp3,neerajaabhyankar/hindustani-raag-small,train,32,AheerBhairav
neerajaabhyankar_hindustani-raag-small_00000033,india,audio/neerajaabhyankar_hindustani-raag-small_00000033.mp3,neerajaabhyankar/hindustani-raag-small,train,33,AlhaiyaBilawal
neerajaabhyankar_hindustani-raag-small_00000034,india,audio/neerajaabhyankar_hindustani-raag-small_00000034.mp3,neerajaabhyankar/hindustani-raag-small,train,34,AlhaiyaBilawal
neerajaabhyankar_hindustani-raag-small_00000035,india,audio/neerajaabhyankar_hindustani-raag-small_00000035.mp3,neerajaabhyankar/hindustani-raag-small,train,35,AlhaiyaBilawal
neerajaabhyankar_hindustani-raag-small_00000036,india,audio/neerajaabhyankar_hindustani-raag-small_00000036.mp3,neerajaabhyankar/hindustani-raag-small,train,36,AlhaiyaBilawal
neerajaabhyankar_hindustani-raag-small_00000037,india,audio/neerajaabhyankar_hindustani-raag-small_00000037.mp3,neerajaabhyankar/hindustani-raag-small,train,37,AlhaiyaBilawal
neerajaabhyankar_hindustani-raag-small_00000038,india,audio/neerajaabhyankar_hindustani-raag-small_00000038.mp3,neerajaabhyankar/hindustani-raag-small,train,38,AlhaiyaBilawal
neerajaabhyankar_hindustani-raag-small_00000039,india,audio/neerajaabhyankar_hindustani-raag-small_00000039.mp3,neerajaabhyankar/hindustani-raag-small,train,39,AlhaiyaBilawal
neerajaabhyankar_hindustani-raag-small_00000040,india,audio/neerajaabhyankar_hindustani-raag-small_00000040.mp3,neerajaabhyankar/hindustani-raag-small,train,40,AlhaiyaBilawal
neerajaabhyankar_hindustani-raag-small_00000041,india,audio/neerajaabhyankar_hindustani-raag-small_00000041.mp3,neerajaabhyankar/hindustani-raag-small,train,41,AlhaiyaBilawal
neerajaabhyankar_hindustani-raag-small_00000042,india,audio/neerajaabhyankar_hindustani-raag-small_00000042.mp3,neerajaabhyankar/hindustani-raag-small,train,42,AlhaiyaBilawal
neerajaabhyankar_hindustani-raag-small_00000043,india,audio/neerajaabhyankar_hindustani-raag-small_00000043.mp3,neerajaabhyankar/hindustani-raag-small,train,43,AlhaiyaBilawal
neerajaabhyankar_hindustani-raag-small_00000044,india,audio/neerajaabhyankar_hindustani-raag-small_00000044.mp3,neerajaabhyankar/hindustani-raag-small,train,44,AlhaiyaBilawal
neerajaabhyankar_hindustani-raag-small_00000045,india,audio/neerajaabhyankar_hindustani-raag-small_00000045.mp3,neerajaabhyankar/hindustani-raag-small,train,45,AlhaiyaBilawal
neerajaabhyankar_hindustani-raag-small_00000046,india,audio/neerajaabhyankar_hindustani-raag-small_00000046.mp3,neerajaabhyankar/hindustani-raag-small,train,46,AlhaiyaBilawal
neerajaabhyankar_hindustani-raag-small_00000047,india,audio/neerajaabhyankar_hindustani-raag-small_00000047.mp3,neerajaabhyankar/hindustani-raag-small,train,47,AlhaiyaBilawal
neerajaabhyankar_hindustani-raag-small_00000048,india,audio/neerajaabhyankar_hindustani-raag-small_00000048.mp3,neerajaabhyankar/hindustani-raag-small,train,48,AlhaiyaBilawal
neerajaabhyankar_hindustani-raag-small_00000049,india,audio/neerajaabhyankar_hindustani-raag-small_00000049.mp3,neerajaabhyankar/hindustani-raag-small,train,49,AlhaiyaBilawal
neerajaabhyankar_hindustani-raag-small_00000050,india,audio/neerajaabhyankar_hindustani-raag-small_00000050.mp3,neerajaabhyankar/hindustani-raag-small,train,50,AlhaiyaBilawal
neerajaabhyankar_hindustani-raag-small_00000051,india,audio/neerajaabhyankar_hindustani-raag-small_00000051.mp3,neerajaabhyankar/hindustani-raag-small,train,51,AlhaiyaBilawal
