track_id,culture,audio_path,source_dataset,source_split,source_index,label,cname,pinyin,instrument,mood_theme,duration,title,language,rights,source_url
ccmusic-database_CTIS_00000000,china,E:\Desktop\Echo\storage\public\research_dataset_v2\china\audio\ccmusic-database_CTIS_00000000.wav,ccmusic-database/CTIS,train,0,D0287,深波,shen1_bo1,,,,,,,
ccmusic-database_CTIS_00000001,china,E:\Desktop\Echo\storage\public\research_dataset_v2\china\audio\ccmusic-database_CTIS_00000001.wav,ccmusic-database/CTIS,train,1,L0136,渔胡,yu2_hu2,,,,,,,
ccmusic-database_CTIS_00000002,china,E:\Desktop\Echo\storage\public\research_dataset_v2\china\audio\ccmusic-database_CTIS_00000002.wav,ccmusic-database/CTIS,train,2,C0259,中音加键唢呐,Alto_jia1_jian4_suo3_na,,,,,,,
ccmusic-database_CTIS_00000003,china,E:\Desktop\Echo\storage\public\research_dataset_v2\china\audio\ccmusic-database_CTIS_00000003.wav,ccmusic-database/CTIS,train,3,T0319,低音热瓦普,Bass_re4_wa3_pu3,,,,,,,
ccmusic-database_CTIS_00000004,china,E:\Desktop\Echo\storage\public\research_dataset_v2\china\audio\ccmusic-database_CTIS_00000004.wav,ccmusic-database/CTIS,train,4,T0081,玄琴,xuan2_qin2,,,,,,,
ccmusic-database_CTIS_00000005,china,E:\Desktop\Echo\storage\public\research_dataset_v2\china\audio\ccmusic-database_CTIS_00000005.wav,ccmusic-database/CTIS,train,5,L0046,扬剧主胡F调,yang2_ju4_zhu3_hu2_in_F,,,,,,,
ccmusic-database_CTIS_00000006,china,E:\Desktop\Echo\storage\public\research_dataset_v2\china\audio\ccmusic-database_CTIS_00000006.wav,ccmusic-database/CTIS,train,6,L0162,襄阳专用胡琴,xiang1_yang2_zhuan1_yong4_hu2_qin2,,,,,,,
ccmusic-database_CTIS_00000007,china,E:\Desktop\Echo\storage\public\research_dataset_v2\china\audio\ccmusic-database_CTIS_00000007.wav,ccmusic-database/CTIS,train,7,L0256,雷琴,lei2_qin2,,,,,,,
ccmusic-database_CTIS_00000008,china,E:\Desktop\Echo\storage\public\research_dataset_v2\china\audio\ccmusic-database_CTIS_00000008.wav,ccmusic-database/CTIS,train,8,L0151,四弦,si4_xian2,,,,,,,
ccmusic-database_CTIS_00000009,china,E:\Desktop\Echo\storage\public\research_dataset_v2\china\audio\ccmusic-database_CTIS_00000009.wav,ccmusic-database/CTIS,train,9,L0167,黔胡,qian2_hu2,,,,,,,
ccmusic-database_CTIS_00000010,china,E:\Desktop\Echo\storage\public\research_dataset_v2\china\audio\ccmusic-database_CTIS_00000010.wav,ccmusic-database/CTIS,train,10,L0045,扬剧主胡,yang2_ju4_zhu3_hu2,,,,,,,
ccmusic-database_CTIS_00000011,china,E:\Desktop\Echo\storage\public\research_dataset_v2\china\audio\ccmusic-database_CTIS_00000011.wav,ccmusic-database/CTIS,train,11,T0006,陶布舒尔,tao2_bu4_shu1_er3,,,,,,,
ccmusic-database_CTIS_00000012,china,E:\Desktop\Echo\storage\public\research_dataset_v2\china\audio\ccmusic-database_CTIS_00000012.wav,ccmusic-database/CTIS,train,12,L0136,渔胡,yu2_hu2,,,,,,,
ccmusic-database_CTIS_00000013,china,E:\Desktop\Echo\storage\public\research_dataset_v2\china\audio\ccmusic-database_CTIS_00000013.wav,ccmusic-database/CTIS,train,13,L0167,黔胡,qian2_hu2,,,,,,,
