track_id,culture,audio_path,source_dataset,source_split,source_index,label,title,emotion,has_emotional_variations
norway_hf2_0000,norway,audio/norway_hf2_0000.wav,Bots4M/HF2-Hardanger-fiddle-dataset,train,0,archival,00058-Dahle Johannes Knutson-Tussebrureferda på Vossevangen,,False
norway_hf2_0001,norway,audio/norway_hf2_0001.wav,Bots4M/HF2-Hardanger-fiddle-dataset,train,1,archival,00106-Furholt Otto-Fiskaren,,False
norway_hf2_0002,norway,audio/norway_hf2_0002.wav,Bots4M/HF2-Hardanger-fiddle-dataset,train,2,archival,00108-Furholt Otto-Sordølen,,False
norway_hf2_0003,norway,audio/norway_hf2_0003.wav,Bots4M/HF2-Hardanger-fiddle-dataset,train,3,archival,00365-Berge Per Olsson-Salmastubben,,False
norway_hf2_0004,norway,audio/norway_hf2_0004.wav,Bots4M/HF2-Hardanger-fiddle-dataset,train,4,archival,00379-Berge Per Olsson-Skarsnuten,,False
norway_hf2_0005,norway,audio/norway_hf2_0005.wav,Bots4M/HF2-Hardanger-fiddle-dataset,train,5,archival,01267-Ørpen Truls Gunnarson-Springar fra Krødsherad,,False
norway_hf2_0006,norway,audio/norway_hf2_0006.wav,Bots4M/HF2-Hardanger-fiddle-dataset,train,6,archival,01309-Ørpen Truls Gunnarson-Springar,,False
norway_hf2_0007,norway,audio/norway_hf2_0007.wav,Bots4M/HF2-Hardanger-fiddle-dataset,train,7,processed,Baggen,happy,False
norway_hf2_0008,norway,audio/norway_hf2_0008.wav,Bots4M/HF2-Hardanger-fiddle-dataset,train,8,processed,Baustadtoppen,original,False
norway_hf2_0009,norway,audio/norway_hf2_0009.wav,Bots4M/HF2-Hardanger-fiddle-dataset,train,9,processed,Den,original,False
norway_hf2_0010,norway,audio/norway_hf2_0010.wav,Bots4M/HF2-Hardanger-fiddle-dataset,train,10,,Fuglesangen,angry,True
norway_hf2_0011,norway,audio/norway_hf2_0011.wav,Bots4M/HF2-Hardanger-fiddle-dataset,train,11,,Fuglesangen,happy,True
