track_id,culture,audio_path,source_dataset,source_split,source_index,label,title,artist
bilal63_turkish_music_emotion_dataset_00000000,turkey,audio/bilal63_turkish_music_emotion_dataset_00000000.mp3,bilal63/turkish_music_emotion_dataset,train,0,,,
bilal63_turkish_music_emotion_dataset_00000001,turkey,audio/bilal63_turkish_music_emotion_dataset_00000001.mp3,bilal63/turkish_music_emotion_dataset,train,1,,,
bilal63_turkish_music_emotion_dataset_00000002,turkey,audio/bilal63_turkish_music_emotion_dataset_00000002.mp3,bilal63/turkish_music_emotion_dataset,train,2,,,
bilal63_turkish_music_emotion_dataset_00000003,turkey,audio/bilal63_turkish_music_emotion_dataset_00000003.mp3,bilal63/turkish_music_emotion_dataset,train,3,,,
bilal63_turkish_music_emotion_dataset_00000004,turkey,audio/bilal63_turkish_music_emotion_dataset_00000004.mp3,bilal63/turkish_music_emotion_dataset,train,4,,,
bilal63_turkish_music_emotion_dataset_00000005,turkey,audio/bilal63_turkish_music_emotion_dataset_00000005.mp3,bilal63/turkish_music_emotion_dataset,train,5,,,
bilal63_turkish_music_emotion_dataset_00000006,turkey,audio/bilal63_turkish_music_emotion_dataset_00000006.mp3,bilal63/turkish_music_emotion_dataset,train,6,,,
bilal63_turkish_music_emotion_dataset_00000007,turkey,audio/bilal63_turkish_music_emotion_dataset_00000007.mp3,bilal63/turkish_music_emotion_dataset,train,7,,,
bilal63_turkish_music_emotion_dataset_00000008,turkey,audio/bilal63_turkish_music_emotion_dataset_00000008.mp3,bilal63/turkish_music_emotion_dataset,train,8,,,
bilal63_turkish_music_emotion_dataset_00000009,turkey,audio/bilal63_turkish_music_emotion_dataset_00000009.mp3,bilal63/turkish_music_emotion_dataset,train,9,,,
bilal63_turkish_music_emotion_dataset_00000010,turkey,audio/bilal63_turkish_music_emotion_dataset_00000010.mp3,bilal63/turkish_music_emotion_dataset,train,10,,,
bilal63_turkish_music_emotion_dataset_00000011,turkey,audio/bilal63_turkish_music_emotion_dataset_00000011.mp3,bilal63/turkish_music_emotion_dataset,train,11,,,
bilal63_turkish_music_emotion_dataset_00000012,turkey,audio/bilal63_turkish_music_emotion_dataset_00000012.mp3,bilal63/turkish_music_emotion_dataset,train,12,,,
bilal63_turkish_music_emotion_dataset_00000013,turkey,audio/bilal63_turkish_music_emotion_dataset_00000013.mp3,bilal63/turkish_music_emotion_dataset,train,13,,,
bilal63_turkish_music_emotion_dataset_00000014,turkey,audio/bilal63_turkish_music_emotion_dataset_00000014.mp3,bilal63/turkish_music_emotion_dataset,train,14,,,
