track_id,culture,audio_path,source_dataset,source_split,source_index,duration_sec,sample_rate,channels,era,region,coarse_label,is_instrumental,fine_label,label,substyle,instrument,instrument_family,language,title,artist,license,license_note,url,recording_condition,notes,schema_version,dataset_version,import_batch,dedup_group_id,dedup_keep,qc_status,qc_notes,embedding_status_culturemert,embedding_status_gemini,drop_reason
china_jingju_0000,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0000.wav,compmusic_jingju_acappella,wav_zip,0,80.163129,44100,1,traditional,china,traditional_vocal,0,daeh,daeh,jingju_acappella,,voice,zh,Bie_yuan_zhong,qm,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,Mei_fei,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0000,1,pending,,pending,pending,
china_jingju_0002,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0002.wav,compmusic_jingju_acappella,wav_zip,2,123.275964,44100,1,traditional,china,traditional_vocal,0,daeh,daeh,jingju_acappella,,voice,zh,Yi_sha_shi,qm,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,Suo_lin_nang,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0002,1,pending,,pending,pending,
china_jingju_0005,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0005.wav,compmusic_jingju_acappella,wav_zip,5,70.200249,44100,1,traditional,china,traditional_vocal,0,dafeh,dafeh,jingju_acappella,,voice,zh,Bi_yun_tian,qm,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,Xi_xiang_ji02,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0005,1,pending,,pending,pending,
china_jingju_0008,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0008.wav,compmusic_jingju_acappella,wav_zip,8,180.768549,44100,1,traditional,china,traditional_vocal,0,danbz,danbz,jingju_acappella,,voice,zh,Bei_jiu_chan,qm,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,Chun_gui_men01,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0008,1,pending,,pending,pending,
china_jingju_0011,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0011.wav,compmusic_jingju_acappella,wav_zip,11,120.271497,44100,1,traditional,china,traditional_vocal,0,danbz,danbz,jingju_acappella,,voice,zh,Kan_dai_wang,qm,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,Ba_wang_bie_ji01,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0011,1,pending,,pending,pending,
china_jingju_0013,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0013.wav,compmusic_jingju_acappella,wav_zip,13,58.898685,44100,1,traditional,china,traditional_vocal,0,danbz,danbz,jingju_acappella,,voice,zh,Kan_dai_wang,qm,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,Ba_wang_bie_ji03,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0013,1,pending,,pending,pending,
china_jingju_0016,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0016.wav,compmusic_jingju_acappella,wav_zip,16,100.191224,44100,1,traditional,china,traditional_vocal,0,daspd,daspd,jingju_acappella,,voice,zh,Du_shou_kong,upf,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,Wang_jiang_ting,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0016,1,pending,,pending,pending,
china_jingju_0019,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0019.wav,compmusic_jingju_acappella,wav_zip,19,159.975533,44100,2,traditional,china,traditional_vocal,0,daspd,daspd,jingju_acappella,,voice,zh,Hai_dao_bing,qm,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,Gui_fei_zui_jiu03,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0019,1,pending,,pending,pending,
china_jingju_0022,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0022.wav,compmusic_jingju_acappella,wav_zip,22,39.06288,44100,1,traditional,china,traditional_vocal,0,daxp,daxp,jingju_acappella,,voice,zh,Chun_qiu_ting,qm,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,Suo_lin_nang03,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0022,1,pending,,pending,pending,
china_jingju_0024,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0024.wav,compmusic_jingju_acappella,wav_zip,24,38.06873,44100,2,traditional,china,traditional_vocal,0,daxp,daxp,jingju_acappella,,voice,zh,Jiao_Zhang_sheng,qm,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,Hong_niang01,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0024,1,pending,,pending,pending,
china_jingju_0027,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0027.wav,compmusic_jingju_acappella,wav_zip,27,37.127642,44100,1,traditional,china,traditional_vocal,0,daxp,daxp,jingju_acappella,,voice,zh,Jiao_Zhang_sheng,qm,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,Hong_niang04,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0027,1,pending,,pending,pending,
china_jingju_0030,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0030.wav,compmusic_jingju_acappella,wav_zip,30,81.38,44100,2,traditional,china,traditional_vocal,0,daxp,daxp,jingju_acappella,,voice,zh,Meng_ting_de,qm,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,Mu_Gui_ying_gua_shuai02,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0030,1,pending,,pending,pending,
china_jingju_0033,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0033.wav,compmusic_jingju_acappella,wav_zip,33,50.282766,44100,1,traditional,china,traditional_vocal,0,daxp,daxp,jingju_acappella,,voice,zh,Meng_ting_de,qm,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,Mu_Gui_ying_gua_shuai05,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0033,1,pending,,pending,pending,
china_jingju_0035,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0035.wav,compmusic_jingju_acappella,wav_zip,35,36.959048,44100,1,traditional,china,traditional_vocal,0,daxp,daxp,jingju_acappella,,voice,zh,Wo_Hong_niang,qm,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,Hong_niang,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0035,1,pending,,pending,pending,
china_jingju_0038,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0038.wav,compmusic_jingju_acappella,wav_zip,38,40.999637,44100,1,traditional,china,traditional_vocal,0,daxp,daxp,jingju_acappella,,voice,zh,Zhe_cai_shi,qm,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,Suo_lin_nang02,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0038,1,pending,,pending,pending,
china_jingju_0041,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0041.wav,compmusic_jingju_acappella,wav_zip,41,172.744853,44100,1,traditional,china,traditional_vocal,0,wangjiangting_zhijianta,wangjiangting_zhijianta,jingju_acappella,,voice,zh,wangjiangting_zhijianta,,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0041,1,pending,,pending,pending,
china_jingju_0044,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0044.wav,compmusic_jingju_acappella,wav_zip,44,97.628299,44100,1,traditional,china,traditional_vocal,0,xixiangji_luanchouduo,xixiangji_luanchouduo,jingju_acappella,,voice,zh,xixiangji_luanchouduo,,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0044,1,pending,,pending,pending,
china_jingju_0046,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0046.wav,compmusic_jingju_acappella,wav_zip,46,558.27737,44100,1,traditional,china,traditional_vocal,0,xixiangji_xianzhishuo,xixiangji_xianzhishuo,jingju_acappella,,voice,zh,xixiangji_xianzhishuo,,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0046,1,pending,,pending,pending,
china_jingju_0049,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0049.wav,compmusic_jingju_acappella,wav_zip,49,470.85424,44100,1,traditional,china,traditional_vocal,0,zhuangyuanmei_daocishi,zhuangyuanmei_daocishi,jingju_acappella,,voice,zh,zhuangyuanmei_daocishi,,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0049,1,pending,,pending,pending,
china_jingju_0052,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0052.wav,compmusic_jingju_acappella,wav_zip,52,175.984036,44100,1,traditional,china,traditional_vocal,0,zhuangyuanmei_zhenzhushan,zhuangyuanmei_zhenzhushan,jingju_acappella,,voice,zh,zhuangyuanmei_zhenzhushan,,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0052,1,pending,,pending,pending,
china_jingju_0055,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0055.wav,compmusic_jingju_acappella,wav_zip,55,90.524263,44100,2,traditional,china,traditional_vocal,0,lseh,lseh,jingju_acappella,,voice,zh,Wei_guo_jia,lon,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,Hong_yang_dong01,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0055,1,pending,,pending,pending,
china_jingju_0057,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0057.wav,compmusic_jingju_acappella,wav_zip,57,147.620499,44100,1,traditional,china,traditional_vocal,0,lseh,lseh,jingju_acappella,,voice,zh,Wo_ben_shi,qm,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,Qiong_lin_yan,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0057,1,pending,,pending,pending,
china_jingju_0060,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0060.wav,compmusic_jingju_acappella,wav_zip,60,111.994921,44100,2,traditional,china,traditional_vocal,0,lsfxp,lsfxp,jingju_acappella,,voice,zh,Yang_si_lang,lon,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,Si_lang_tan_mu,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0060,1,pending,,pending,pending,
china_jingju_0063,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0063.wav,compmusic_jingju_acappella,wav_zip,63,33.04,44100,1,traditional,china,traditional_vocal,0,lsxp,lsxp,jingju_acappella,,voice,zh,Guo_liao_yi,qm,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,Wen_zhao_guan02,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0063,1,pending,,pending,pending,
china_jingju_0066,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0066.wav,compmusic_jingju_acappella,wav_zip,67,62.5,44100,1,traditional,china,traditional_vocal,0,lsxp,lsxp,jingju_acappella,,voice,zh,Jiang_shen_er,1,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,San_jia_dian01,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0066,1,pending,,pending,pending,
china_jingju_0068,china,E:\Desktop\Echo\storage\public\research_dataset_v3\china\audio\china_jingju_0068.wav,compmusic_jingju_acappella,wav_zip,69,103.602063,44100,1,traditional,china,traditional_vocal,0,lsxp,lsxp,jingju_acappella,,voice,zh,Jiang_shen_er,qm,cc-by-nc-4.0_mixed,UPF/lon recordings CC BY-NC 4.0; qm recordings follow Isophonics license note.,,,San_jia_dian02,v4.0,v4_main_seed_from_v3_2026-03-20,v4_main_seed_from_v3_2026-03-20,china_jingju_0068,1,pending,,pending,pending,
