track_id,culture,audio_path,source_dataset,source_split,source_index,label,cname,pinyin,name
sanchit-gandhi_gtzan_00000000,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000000.wav,sanchit-gandhi/gtzan,train,0,blues,,,
sanchit-gandhi_gtzan_00000001,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000001.wav,sanchit-gandhi/gtzan,train,1,blues,,,
sanchit-gandhi_gtzan_00000002,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000002.wav,sanchit-gandhi/gtzan,train,2,blues,,,
sanchit-gandhi_gtzan_00000003,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000003.wav,sanchit-gandhi/gtzan,train,3,blues,,,
sanchit-gandhi_gtzan_00000004,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000004.wav,sanchit-gandhi/gtzan,train,4,blues,,,
sanchit-gandhi_gtzan_00000005,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000005.wav,sanchit-gandhi/gtzan,train,5,blues,,,
sanchit-gandhi_gtzan_00000006,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000006.wav,sanchit-gandhi/gtzan,train,6,blues,,,
sanchit-gandhi_gtzan_00000007,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000007.wav,sanchit-gandhi/gtzan,train,7,blues,,,
sanchit-gandhi_gtzan_00000008,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000008.wav,sanchit-gandhi/gtzan,train,8,blues,,,
sanchit-gandhi_gtzan_00000009,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000009.wav,sanchit-gandhi/gtzan,train,9,blues,,,
sanchit-gandhi_gtzan_00000010,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000010.wav,sanchit-gandhi/gtzan,train,10,blues,,,
sanchit-gandhi_gtzan_00000011,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000011.wav,sanchit-gandhi/gtzan,train,11,blues,,,
sanchit-gandhi_gtzan_00000012,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000012.wav,sanchit-gandhi/gtzan,train,12,blues,,,
sanchit-gandhi_gtzan_00000013,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000013.wav,sanchit-gandhi/gtzan,train,13,blues,,,
sanchit-gandhi_gtzan_00000014,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000014.wav,sanchit-gandhi/gtzan,train,14,blues,,,
sanchit-gandhi_gtzan_00000015,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000015.wav,sanchit-gandhi/gtzan,train,15,blues,,,
sanchit-gandhi_gtzan_00000016,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000016.wav,sanchit-gandhi/gtzan,train,16,blues,,,
sanchit-gandhi_gtzan_00000017,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000017.wav,sanchit-gandhi/gtzan,train,17,blues,,,
sanchit-gandhi_gtzan_00000018,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000018.wav,sanchit-gandhi/gtzan,train,18,blues,,,
sanchit-gandhi_gtzan_00000019,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000019.wav,sanchit-gandhi/gtzan,train,19,blues,,,
sanchit-gandhi_gtzan_00000020,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000020.wav,sanchit-gandhi/gtzan,train,20,blues,,,
sanchit-gandhi_gtzan_00000021,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000021.wav,sanchit-gandhi/gtzan,train,21,blues,,,
sanchit-gandhi_gtzan_00000022,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000022.wav,sanchit-gandhi/gtzan,train,22,blues,,,
sanchit-gandhi_gtzan_00000023,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000023.wav,sanchit-gandhi/gtzan,train,23,blues,,,
sanchit-gandhi_gtzan_00000024,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000024.wav,sanchit-gandhi/gtzan,train,24,blues,,,
sanchit-gandhi_gtzan_00000025,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000025.wav,sanchit-gandhi/gtzan,train,25,blues,,,
sanchit-gandhi_gtzan_00000026,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000026.wav,sanchit-gandhi/gtzan,train,26,blues,,,
sanchit-gandhi_gtzan_00000027,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000027.wav,sanchit-gandhi/gtzan,train,27,blues,,,
sanchit-gandhi_gtzan_00000028,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000028.wav,sanchit-gandhi/gtzan,train,28,blues,,,
sanchit-gandhi_gtzan_00000029,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000029.wav,sanchit-gandhi/gtzan,train,29,blues,,,
sanchit-gandhi_gtzan_00000030,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000030.wav,sanchit-gandhi/gtzan,train,30,blues,,,
sanchit-gandhi_gtzan_00000031,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000031.wav,sanchit-gandhi/gtzan,train,31,blues,,,
sanchit-gandhi_gtzan_00000032,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000032.wav,sanchit-gandhi/gtzan,train,32,blues,,,
sanchit-gandhi_gtzan_00000033,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000033.wav,sanchit-gandhi/gtzan,train,33,blues,,,
sanchit-gandhi_gtzan_00000034,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000034.wav,sanchit-gandhi/gtzan,train,34,blues,,,
sanchit-gandhi_gtzan_00000035,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000035.wav,sanchit-gandhi/gtzan,train,35,blues,,,
sanchit-gandhi_gtzan_00000036,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000036.wav,sanchit-gandhi/gtzan,train,36,blues,,,
sanchit-gandhi_gtzan_00000037,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000037.wav,sanchit-gandhi/gtzan,train,37,blues,,,
sanchit-gandhi_gtzan_00000038,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000038.wav,sanchit-gandhi/gtzan,train,38,blues,,,
sanchit-gandhi_gtzan_00000039,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000039.wav,sanchit-gandhi/gtzan,train,39,blues,,,
